"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Il10ra",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il10rb",0.000421917302254657,-4.11385297637536,0,0.027,0,0.540603642704362,-0.679030825082065,0.019,0.027,0
"Il11",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Il11ra1",0.660664083522562,0.2784644464034,0.015,0.011,0,0.338959167297719,-1.33110752166176,0.004,0.011,0
"Il11ra2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il12a",1,-1.30649805431776,0,0,0,0.530598125263707,0.253854979059398,0.002,0,0
"Il12b",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il12rb1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il12rb2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il13",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il13ra1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il13ra2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il15",0.154259161685032,1.2784644464034,0.011,0,0,0.0940648258854213,1.66889247833824,0.015,0,0
"Il15ra",0.0261852160855335,-3.30649805431776,0,0.011,0,0.0249278666346282,-3.33110752166176,0,0.011,0
"Il16",0.863358436528054,-0.7215355535966,0.004,0.005,0,0.113461687193033,-2.33110752166176,0,0.005,0
"Il17a",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il17b",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il17c",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il17d",0.743193734505936,-0.19102083689782,0.026,0.021,0,0.987722614288214,-0.331107521661758,0.021,0.021,0
"Il17f",0.527083349334328,-0.306498054317756,0.002,0,0,0.27497310683066,1.47624740039585,0.006,0,0
"Il17ra",0.154259161685032,1.2784644464034,0.011,0,0,0.206919640768815,0.990820573225605,0.008,0,0
"Il17rb",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Il17rc",0.270873704387373,0.693501945682244,0.006,0,0,0.274972738959452,0.990820573225605,0.006,0,0
"Il17rd",0.369442027981191,0.2784644464034,0.004,0,0,0.373525822849022,0.668892478338242,0.004,0,0
"Il17re",0.808343274186168,-0.306498054317756,0.009,0.011,0,0.792951011430134,0.0839299776170863,0.008,0.011,0
"Il18",0.988728847366455,-0.0841056329813084,0.011,0.011,0,0.361369946867941,0.668892478338242,0.021,0.011,0
"Il18bp",0.135386324310485,-0.674229838818244,0.058,0.09,0,0.231940321383067,-0.443582250920171,0.063,0.09,0
"Il18r1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il18rap",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il19",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il1a",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il1b",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il1f9",1,-1.30649805431776,0,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Il1r1",1,-1.30649805431776,0,0,0,0.373525822849022,0.253854979059398,0.004,0,0
"Il1r2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il1rap",0.43297884582404,0.693501945682244,0.019,0.011,0,0.827330540310939,0.0839299776170863,0.013,0.011,0
"Il1rapl1",0.990778155747993,-0.306498054317756,0.011,0.011,0,0.447848653630749,0.405858072504449,0.019,0.011,0
"Il1rapl2",0.239021006282959,0.863426947124556,0.017,0.005,0,0.246251020755977,0.990820573225605,0.017,0.005,0
"Il1rl1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il1rl2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il1rn",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il2",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il20ra",1,-1.30649805431776,0,0,0,0.20691859514969,1.2538549790594,0.008,0,0
"Il20rb",0.369442027981191,0.2784644464034,0.004,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Il21r",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Il22",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il22ra1",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il22ra2",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Il23a",0.527083349334328,-0.306498054317756,0.002,0,0,0.373525822849022,0.253854979059398,0.004,0,0
"Il23r",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Il25",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il27",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il27ra",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il2ra",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
"Il2rb",0.527083349334328,-0.306498054317756,0.002,0,0,0.530598125263707,-0.331107521661758,0.002,0,0
"Il2rg",0.527083349334328,-0.306498054317756,0.002,0,0,1,-1.33110752166176,0,0,0
"Il31",1,-1.30649805431776,0,0,0,1,-1.33110752166176,0,0,0
