"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Spocd1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spock1",1,-2.2844533894687,0,0,0,0.575282694255921,-1.05444778402238,0.008,0,0
"Spock2",0.668255077285155,0.0726165115389199,0.868,0.769,0,0.876294986386275,-0.0218799215659456,0.864,0.769,0
"Spock3",0.169706943216068,-1.86941589018986,0.016,0.051,0,0.863814538457531,-0.0544477840223765,0.058,0.051,0
"Spon1",0.309269038105685,0.300509111252457,0.026,0,0,0.32419626958727,0.53051471669878,0.025,0,0
"Spon2",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spop",0.792166110097398,-0.0729492842749877,0.374,0.41,0,0.643125837655388,0.123889457236136,0.444,0.41,0
"Spopl",0.91982292722172,-0.345853934132843,0.111,0.103,0,0.485221756282941,0.023554727978897,0.148,0.103,0
"Spout1",0.10850066301058,1.62243720613982,0.063,0,0,0.0716832770637489,1.68251781014383,0.078,0,0
"Spp1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spp2",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sppl2a",0.761609384360368,-0.477098467411095,0.063,0.077,0,0.724893484553563,-0.0544477840223765,0.095,0.077,0
"Sppl2b",0.61177993816964,-0.477098467411095,0.1,0.128,0,0.839036387805401,-0.224372785464689,0.115,0.128,0
"Sppl3",0.816099078286109,-0.00434547027596421,0.168,0.154,0,0.734594044181945,0.138197293920019,0.173,0.154,0
"Spr",0.931503014692187,-0.2844533894687,0.047,0.051,0,0.732374505602396,-0.136909944214349,0.066,0.051,0
"Spred1",0.229713174406698,0.590015728447442,0.211,0.128,0,0.774269912851515,0.0610294333975596,0.144,0.128,0
"Spred2",0.413514964958034,0.300509111252457,0.058,0.026,0,0.915071409118305,-0.639410284743532,0.029,0.026,0
"Spred3",0.0334167175797672,1.62243720613982,0.153,0.026,0,0.0122578670870698,2.16794463731407,0.185,0.026,0
"Sprn",0.262280599548993,0.7155466105313,0.111,0.051,0,0.555065635147081,0.0975553094226735,0.078,0.051,0
"Sprr2a1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sprr2a3",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sprtn",0.226227561621731,0.715546610531301,0.037,0,0,0.369410433649415,-0.0544477840223765,0.021,0,0
"Spry1",1,-2.2844533894687,0,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spry2",0.548817222667015,0.0374747054186635,0.047,0.026,0,0.51239320021625,0.167944637314072,0.049,0.026,0
"Spry4",0.364794598735991,0.300509111252457,0.021,0,0,0.177182420199887,0.945552215977624,0.045,0,0
"Spryd3",0.464677202033003,-0.506845810805148,0.111,0.154,0,0.160587482965527,-0.923203250744124,0.082,0.154,0
"Spryd4",0.658892422553708,-1.2844533894687,0.005,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Spryd7",0.696681845242496,-0.0620609681322515,0.068,0.051,0,0.605766212043575,0.0975553094226735,0.074,0.051,0
"Spsb1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spsb2",0.216882875109519,-2.2844533894687,0.005,0.026,0,0.518636683943473,-1.63941028474353,0.012,0.026,0
"Spsb3",0.355372021400222,0.415986328672393,0.189,0.128,0,0.690791693397872,0.0610294333975596,0.152,0.128,0
"Spsb4",0.263902603798727,0.522901532588905,0.032,0,0,0.369398177973647,0.167944637314072,0.021,0,0
"Spta1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sptan1",0.287425775561666,0.199580202401676,0.721,0.641,0,0.292372610709237,0.211832281315072,0.749,0.641,0
"Sptb",0.954619185967214,-0.114528388026387,0.079,0.077,0,0.329402756260339,0.53051471669878,0.132,0.077,0
"Sptbn1",0.908068795827657,0.0572379602400926,0.584,0.615,0,0.806444258568601,0.102521562316023,0.605,0.615,0
"Sptbn2",0.0281207752783238,-3.2844533894687,0,0.026,0,0.974955274856986,-0.832055362685928,0.025,0.026,0
"Sptbn5",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sptlc1",0.177075352436559,-1.2844533894687,0.047,0.103,0,0.0462677638077306,-1.79141337818858,0.033,0.103,0
"Sptlc2",0.434549428007622,-0.284453389468699,0.016,0,0,0.224118888589235,0.68251781014383,0.037,0,0
"Sptssa",0.396426730540041,-0.529565887305231,0.126,0.179,0,0.381582930210014,-0.639410284743533,0.128,0.179,0
"Sptssb",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Spty2d1",0.411382955816188,0.415986328672393,0.058,0.026,0,0.29561882235945,0.53051471669878,0.07,0.026,0
"Spx",0.658892422553708,-1.2844533894687,0.005,0,0,1,-2.63941028474353,0,0,0
"Sqle",0.284950087171188,-1.54748779530249,0.021,0.051,0,0.876316291408515,-0.31748218985617,0.058,0.051,0
"Sqor",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Sqstm1",0.742202478127024,-0.0556346989728185,0.353,0.308,0,0.693222055918933,-0.354008065881284,0.292,0.308,0
"Sra1",0.130515020619704,0.819883270346036,0.205,0.103,0,0.293667393006269,0.464926375071203,0.169,0.103,0
"Srarp",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Srbd1",0.848284360897753,-0.477098467411095,0.032,0.026,0,0.642947949688612,-0.0544477840223765,0.041,0.026,0
"Src",0.761609384360368,-0.477098467411095,0.063,0.077,0,0.78363898037673,-0.11584832868652,0.091,0.077,0
"Srcap",0.431633349983731,-0.182915363006637,0.442,0.513,0,0.328124224153811,-0.247092861964772,0.42,0.513,0
"Srcin1",0.160785127554426,-0.892135966689939,0.1,0.179,0,0.471516605769426,-0.551947443493193,0.136,0.179,0
"Srd5a1",1,-2.2844533894687,0,0,0,0.489937842053108,-0.639410284743532,0.012,0,0
"Srd5a2",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Srd5a3",0.526149715782071,-0.699490888747543,0.011,0,0,0.423504597966161,-0.31748218985617,0.016,0,0
"Srebf1",0.118556155904717,1.10786403331006,0.105,0.026,0,0.294173975685464,0.608517228700054,0.07,0.026,0
"Srebf2",0.362664489902019,-1.16897617204876,0.063,0.103,0,0.513536947279332,-0.976445272021103,0.074,0.103,0
"Srek1",0.824418293189387,-0.230005605446323,0.268,0.282,0,0.840601627403145,0.0177020017334593,0.296,0.282,0
"Srek1ip1",0.72215922046333,0.0374747054186626,0.095,0.077,0,0.773521578548472,0.00444590503119224,0.091,0.077,0
"Srf",0.620351290050645,0.0374747054186626,0.074,0.051,0,0.870515455149914,-0.639410284743533,0.045,0.051,0
"Srfbp1",0.20625323664662,0.80300945178164,0.084,0.026,0,0.409733089359578,0.360589715256468,0.058,0.026,0
"Srgap1",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Srgap2",0.167782578785897,1.03747470541866,0.047,0,0,0.324206629124307,0.167944637314072,0.025,0,0
"Srgap3",0.858126690685116,-0.314827038512218,0.226,0.231,0,0.770853819561824,-0.391482771299947,0.218,0.231,0
"Srgn",1,-2.2844533894687,0,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Sri",0.810515343270372,-0.584013671327607,0.063,0.051,0,0.758707423627507,-0.46948528330122,0.066,0.051,0
"Srl",0.658892422553708,-1.2844533894687,0.005,0,0,0.696281760652701,-1.63941028474353,0.004,0,0
"Srm",0.263871436127782,0.715546610531301,0.032,0,0,0.140789970547868,1.16794463731407,0.053,0,0
"Srms",1,-2.2844533894687,0,0,0,1,-2.63941028474353,0,0,0
"Srp14",0.471939050987882,0.359402800306025,0.116,0.077,0,0.568809955129688,0.115477217419936,0.107,0.077,0
"Srp19",0.925128339592847,-0.2844533894687,0.137,0.128,0,0.914536048549348,-0.31748218985617,0.123,0.128,0
"Srp54b",0.77274788390878,0.000948829393548678,0.2,0.179,0,0.47747735549852,-0.510127267798566,0.136,0.179,0
"Srp68",0.350402375898562,0.452512204697507,0.189,0.128,0,0.491691662159356,0.201891969237409,0.173,0.128,0
"Srp72",0.171142524462496,0.7155466105313,0.163,0.077,0,0.0338277949699757,1.33786963875638,0.222,0.077,0
"Srp9",0.472601842252749,0.24606132723008,0.258,0.205,0,0.923212466035073,-0.16547909641112,0.198,0.205,0
"Srpk1",0.283155579471315,-0.436456482913749,0.316,0.41,0,0.0202901681963876,-0.93897056660244,0.235,0.41,0
"Srpk2",0.396491022496085,0.102569733640548,0.316,0.231,0,0.233363735447452,0.274859841230584,0.342,0.231,0
"Srpk3",0.364803905450833,0.0374747054186635,0.021,0,0,0.369410433649415,-0.0544477840223765,0.021,0,0
"Srpr",0.823677858717165,-0.214064061577302,0.089,0.103,0,0.552461737304685,-0.569020956852134,0.074,0.103,0
"Srprb",0.871865714999342,-0.184917715917785,0.142,0.154,0,0.779997875357883,-0.276840205358825,0.136,0.154,0
"Srpx",0.732342091681542,-0.284453389468699,0.037,0.026,0,0.237529236395976,0.68251781014383,0.078,0.026,0
"Srpx2",1,-2.2844533894687,0,0,0,0.575282694255921,-1.05444778402238,0.008,0,0
"Srr",0.888034953959417,-0.0918083115263038,0.163,0.154,0,0.600387692621396,0.1078236448765,0.189,0.154,0
"Srrd",0.0302119624580091,-2.2844533894687,0.016,0.077,0,0.0247889659150283,-2.31748218985617,0.016,0.077,0
"Srrm1",0.145005164357242,-0.523641053348126,0.289,0.41,0,0.129851536085723,-0.56140777274226,0.288,0.41,0
"Srrm2",0.259331490426461,0.261514979636593,0.626,0.538,0,0.216451338098652,-0.329070164131382,0.424,0.538,0
"Srrm3",0.211544318575456,-0.489273181357198,0.284,0.385,0,0.421535093554383,-0.283929630145144,0.313,0.385,0
"Srrm4",0.398781398031419,-0.370183263494583,0.437,0.487,0,0.138288554992542,-0.494359951940249,0.37,0.487,0
"Srrt",0.362850180128367,0.300509111252457,0.221,0.154,0,0.371694087779405,0.291327052819354,0.218,0.154,0
"Srsf1",0.809601045243138,-0.034475136460352,0.711,0.769,0,0.688340732873564,-0.0479637504521775,0.65,0.769,0
"Srsf10",0.390521081890328,0.25159951077151,0.274,0.205,0,0.416344008417971,0.167944637314072,0.272,0.205,0
"Srsf11",0.778654637852148,-0.184917715917785,0.284,0.308,0,0.599079415129508,-0.297018087296455,0.267,0.308,0
"Srsf12",0.615400592302671,-0.699490888747543,0.079,0.103,0,0.782240975544118,-0.639410284743533,0.091,0.103,0
"Srsf2",0.0803127447355598,-0.4250517196415,0.537,0.692,0,0.0091390507834275,-0.639410284743533,0.481,0.692,0
"Srsf3",0.0286106854869828,0.747968088223678,0.421,0.231,0,0.219467497077663,0.408952736817867,0.329,0.231,0
"Srsf4",0.901255413270469,-0.0306967972229162,0.289,0.308,0,0.361375758709393,-0.385653692497749,0.235,0.308,0
"Srsf5",0.980570808491947,-0.0541557700469054,0.695,0.667,0,0.510169041937758,0.0864147518174733,0.728,0.667,0
"Srsf6",0.1533795819972,-0.477098467411095,0.416,0.538,0,0.354855144624594,-0.306427001347174,0.453,0.538,0
"Srsf7",0.977360203084977,-0.377562793860181,0.3,0.282,0,0.299692265310846,-0.756767235381691,0.218,0.282,0
"Srsf9",0.472601842252749,0.24606132723008,0.258,0.205,0,0.904473370399631,-0.108895568044753,0.193,0.205,0
"Srxn1",0.186752123994191,-1.4770984674111,0.032,0.077,0,0.192765355046307,-1.31748218985617,0.033,0.077,0
"Ss18",0.316074045731156,-0.606381484356062,0.163,0.231,0,0.73339273499788,-0.260898661489803,0.206,0.231,0
