"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Acadsb",0.0893544402082192,2.12199052437861,0.039,0,0,0.0925019526938692,2.09397614820901,0.038,0,0
"Acadvl",0.689067507605537,-0.685364397678994,0.039,0.054,0,0.0623724681758284,1.40209844357135,0.154,0.054,0
"Acan",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acap1",0.0610111286657066,-0.652005800732563,0.451,0.568,0,0.174578117279523,-0.369680056290009,0.442,0.568,0
"Acap2",0.632670056818635,0.144710600878694,0.275,0.23,0,0.329202654704675,0.43862431959646,0.308,0.23,0
"Acap3",0.442470222492988,-0.462971976342546,0.078,0.122,0,0.446370260715681,-0.227951946678349,0.077,0.122,0
"Acat1",0.721876481108901,0.215099928770091,0.216,0.189,0,0.887218229847273,0.302562770020431,0.192,0.189,0
"Acat2",0.798107726235378,-0.047934477063702,0.02,0.027,0,0.725759113319295,0.509013647487857,0.038,0.027,0
"Acat3",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acbd3",0.0632352505235163,0.72967310159985,0.392,0.23,0,0.951502762904914,0.116696224709097,0.231,0.23,0
"Acbd4",0.961675321364125,0.0516011964872121,0.078,0.081,0,0.307897182773192,1.02358682031762,0.135,0.081,0
"Acbd5",0.875408989458974,0.0395283641866373,0.275,0.257,0,0.626956173433726,-0.375509135092206,0.231,0.257,0
"Acbd6",0.475172464353916,-0.56250764989346,0.118,0.162,0,0.449786773597291,-0.590522026063057,0.115,0.162,0
"Acbd7",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Accs",0.799306975728709,0.537028023657455,0.02,0.014,0,0.410989825903103,-0.490986352512142,0,0.014,0
"Accsl",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acd",0.445733350177063,-0.329705445479082,0.294,0.351,0,0.590813491873469,-0.197255149455432,0.308,0.351,0
"Ace",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Ace2",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acer1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acer2",0.415704379568247,-0.462971976342545,0,0.014,0,0.410989825903103,-0.490986352512142,0,0.014,0
"Acer3",0.944619188758154,-0.141043881455184,0.078,0.081,0,0.137291569719566,-1.49098635251214,0.019,0.081,0
"Ache",1,0.537028023657455,0,0,0,0.0925019526938692,2.09397614820901,0.038,0,0
"Acin1",0.693794498409308,-0.103429589655406,0.49,0.527,0,0.64907548035829,0.103021287812021,0.596,0.527,0
"Ackr1",0.415704379568247,-0.462971976342545,0,0.014,0,0.810070559827278,0.509013647487858,0.019,0.014,0
"Ackr2",1,0.537028023657455,0,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Ackr3",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Ackr4",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acly",1,0.0699020132301562,0.451,0.459,0,0.629853074088513,-0.187594209062207,0.423,0.459,0
"Acnat1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Aco1",0.352618216838443,-0.685364397678994,0.039,0.081,0,0.644887965913665,0.0235868203176159,0.058,0.081,0
"Aco2",0.374836130477791,0.674531547407389,0.176,0.122,0,0.83376943366843,0.187085552600495,0.135,0.122,0
"Acod1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acot1",0.234719747406267,1.53702802365745,0.02,0,0,0.239272455655167,1.50901364748786,0.019,0,0
