"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sipa1l2",4.57150908411203e-09,-0.365229201971256,0.166,0.224,0.000147339737780931
"Wbp2",4.58167988732601e-09,-0.196114534544804,0.494,0.581,0.000147667542768517
"Notch1",4.62381111971741e-09,-0.618336596199837,0.064,0.103,0.000149025432388492
"Krt18",4.73378882532592e-09,-0.359565462100033,0.229,0.291,0.000152570013840254
"Tubg1",5.10104540958297e-09,-0.377528221475197,0.161,0.217,0.000164406693550859
"Socs3",5.26244724316343e-09,-0.824931947188104,0.041,0.073,0.000169608674647157
"Ehd4",5.3692583405789e-09,-0.279558765013565,0.27,0.34,0.000173051196316858
"Utp3",5.45025693541012e-09,-0.296734098455545,0.274,0.342,0.000175661781028268
"Anp32a",5.61317873109531e-09,-0.135372906594624,0.774,0.841,0.000180912750503202
"Pea15a",6.28140121263995e-09,-0.154956375957644,0.67,0.744,0.000202449561083385
"E2f6",6.59077993869866e-09,-0.313028693614775,0.267,0.334,0.000212420837424258
"Pde6g",6.80224142438526e-09,-0.0359803328753463,0.992,0.992,0.000219236241107937
"Hk2",6.9507024438589e-09,-0.208112910838237,0.466,0.546,0.000224021139765572
"Pgrmc1",7.64131994360013e-09,-0.267232236253527,0.234,0.303,0.000246279741782232
"Zfp692",7.8094328123317e-09,-0.246944920592979,0.219,0.288,0.000251698019541451
"Bnip3",8.00354614769207e-09,-0.389735423767064,0.108,0.156,0.000257954292340115
"Eef1a1",8.18485018457805e-09,-0.153912930445561,0.653,0.733,0.000263797721448951
"Crym",8.24916151084594e-09,-0.941922254301844,0.026,0.053,0.000265870475494565
"Pvr",8.4511232455097e-09,-0.543960479620359,0.088,0.132,0.000272379702202777
"Gnat1",8.49866144192428e-09,-0.0268294847356563,0.999,0.998,0.000273911858273219
"Adssl1",8.57294597720953e-09,-0.695366757626539,0.054,0.089,0.000276306048845463
"Hspa1b",8.99943368927811e-09,-0.274632489537112,0.306,0.375,0.000290051747805434
"Grm7",9.0390067919142e-09,0.716588693624833,0.136,0.095,0.000291327188903395
"Col8a1",9.57503490806989e-09,-1.27578283973818,0.016,0.038,0.000308603375087093
"Mgarp",1.08599665084985e-08,-0.112391857476832,0.832,0.886,0.000350016720568907
"Irs2",1.09662846376096e-08,-0.32436800977561,0.188,0.248,0.000353443353870158
"Sparc",1.09734728225826e-08,-0.436494488746933,0.097,0.143,0.000353675029071836
"Prcc",1.11844775381749e-08,-0.223593277163436,0.386,0.466,0.000360475711055376
"Urgcp",1.16523578102486e-08,-0.259097552809106,0.237,0.308,0.000375555492224312
"Ppp1r21",1.17611827041599e-08,-0.406454088198285,0.111,0.159,0.000379062918555073
"Abhd13",1.20768065840267e-08,-0.307757449728679,0.235,0.299,0.00038923547620318
"Vim",1.21023140907516e-08,-0.635824348387848,0.072,0.111,0.000390057583144923
"Ubald2",1.22467488577355e-08,-0.239789499675398,0.347,0.421,0.000394712715684814
"Bag5",1.26021076883206e-08,-0.258648163810806,0.219,0.283,0.000406165930794574
"Rnasek",1.26214063519045e-08,-0.240349725559452,0.298,0.372,0.000406787926721881
"Jak1",1.26893578294894e-08,-0.270358551893523,0.305,0.375,0.000408978002844444
"Rack1",1.29939468388113e-08,-0.236139841905517,0.282,0.354,0.000418794906614887
"Bcar3",1.31372292000519e-08,-0.427537781907325,0.118,0.166,0.000423412897117672
"Stxbp5",1.34415573573366e-08,0.179295896421901,0.615,0.589,0.00043322139362696
"Stx7",1.5143195327917e-08,-0.474219591788538,0.104,0.149,0.000488065185418765
"Csk",1.5182036029932e-08,-0.315891037188521,0.183,0.242,0.000489317021244707
"Yars",1.54056318114756e-08,-0.329389725894757,0.191,0.251,0.000496523513283858
"Dusp14",1.58609056940484e-08,-0.375721818988954,0.146,0.198,0.000511196990519181
"Errfi1",1.6473135671291e-08,-0.328176959944936,0.155,0.211,0.00053092916268571
"Snrpb",1.69522185019914e-08,-0.26789811724944,0.305,0.372,0.000546370002319182
"Cops9",1.70059013347012e-08,-0.222180139010281,0.368,0.444,0.000548100200017418
"Rab3a",1.70380349036088e-08,-0.190955839061581,0.481,0.566,0.000549135864943311
"Metap1",1.91184783537099e-08,-0.356739513736374,0.186,0.243,0.000616188557340069
"Zfp955a",1.94247680823941e-08,-0.371906384377445,0.138,0.19,0.000626060275295562
"Pdap1",1.9979390943648e-08,-0.246821616368345,0.356,0.425,0.000643935770113775
"Sumo3",2.1348647489115e-08,-0.201886340178568,0.492,0.563,0.000688066908574178
"Slc19a1",2.16609965587255e-08,-0.274325190247682,0.263,0.329,0.000698133919087724
"Gatad2a",2.28855274435511e-08,-0.247929826015241,0.328,0.399,0.00073760054950565
"Lmo1",2.31929110559219e-08,-0.253068822036143,0.285,0.355,0.000747507523332364
"Cox7c",2.35835162402068e-08,-0.219735078147696,0.445,0.518,0.000760096728421865
"Cdkn2c",2.40233630563477e-08,-0.506736461146351,0.08,0.12,0.000774272991306086
"Vps72",2.53551837548827e-08,-0.253571432785676,0.234,0.299,0.000817197572419869
"Aldoa",2.66224213085204e-08,-0.103448469437161,0.849,0.897,0.000858040638773612
"Dcps",2.67360209375142e-08,-0.387227798361363,0.138,0.189,0.000861701954816083
"Ranbp1",2.73146703523415e-08,-0.307365304816312,0.218,0.278,0.000880351825455965
"Tmem176a",2.93514512396111e-08,-0.732191803273789,0.029,0.055,0.000945997273452665
"Cish",2.9609296887033e-08,-0.414976406493011,0.112,0.159,0.000954307638669074
"Zbtb11",2.99195668681621e-08,-0.261493207796941,0.252,0.317,0.000964307640160864
"Rnf7",3.0040924606928e-08,-0.369552416292158,0.158,0.212,0.000968219000081291
"Hmox1",3.0112121756694e-08,-0.899270234839566,0.022,0.047,0.000970513684218246
"Tob2",3.28248825547154e-08,-0.152327436297692,0.647,0.716,0.00105794596473848
"Tmem176b",3.32226797905246e-08,-0.605575895866466,0.044,0.075,0.00107076696964861
"Rab4a",3.32811212330056e-08,-0.278153102164862,0.211,0.272,0.00107265053733977
"Limch1",3.3659719163878e-08,-0.346486848234644,0.18,0.236,0.00108485274865179
"Gga3",3.44211928523927e-08,-0.266837450488503,0.273,0.339,0.00110939504563262
"Cuedc2",3.48391000300993e-08,-0.261174280702417,0.277,0.342,0.0011228641939701
