_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-2.2164829656660174,mmu01230,M1,1,0,KEGG Pathway,24,Biosynthesis of amino acids - Mus musculus (house mouse),,-2.2164829656660174,8.116609129267358,4.344769363589067,21160,79,99,3,3.0303030303030303,1.7228340715604882,11676|21351|67834,Aldoc|Taldo1|Idh3a,-0.09329975584193737,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.171680134168084,GO:0006090,M1,1,0,GO Biological Processes,19,pyruvate metabolic process,19_GO:0009987 cellular process,-2.171680134168084,7.819660014781967,4.242097270960667,21160,82,99,3,3.0303030303030303,1.7228340715604882,11676|14751|55951,Aldoc|Gpi1|Mpc1,-0.06387363852866035,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.171680134168084,GO:0009185,M1,1,0,GO Biological Processes,19,ribonucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-2.171680134168084,7.819660014781967,4.242097270960667,21160,82,99,3,3.0303030303030303,1.7228340715604882,11637|11676|14751,Ak2|Aldoc|Gpi1,-0.06387363852866035,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.100915575671709,GO:0009132,M1,1,0,GO Biological Processes,19,nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-2.100915575671709,7.370254266805992,4.082055288857053,21160,87,99,3,3.0303030303030303,1.7228340715604882,11637|11676|14751,Ak2|Aldoc|Gpi1,-0.04184986545937796,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.0855950069866327,GO:0046034,M1,1,0,GO Biological Processes,19,ATP metabolic process,19_GO:0009987 cellular process,-2.0855950069866327,5.058872751180444,3.632100831603905,21160,169,99,4,4.040404040404041,1.9789690695126556,11637|11676|14751|66945,Ak2|Aldoc|Gpi1|Sdha,-0.03423424651011352,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-2.081852333483762,GO:0006163,M1,1,0,GO Biological Processes,19,purine nucleotide metabolic process,19_GO:0009987 cellular process,-2.081852333483762,3.42894182466375,3.249324800538208,21160,374,99,6,6.0606060606060606,2.3980835366759585,11637|11676|14751|17449|21351|66945,Ak2|Aldoc|Gpi1|Mdh1|Taldo1|Sdha,-0.03423424651011352,0,2,0,0,-6.970569848902889,18.859180035650624,
1,-6.1461464182685495,GO:0070848,M1,1,0,GO Biological Processes,19,response to growth factor,19_GO:0050896 response to stimulus,-6.1461464182685495,5.020676564300725,6.826437891996699,21160,596,99,14,14.141414141414142,3.5020366660455653,12162|12359|12978|14725|16419|16975|19062|20377|20661|22340|27965|54409|114249|278507,Bmp7|Cat|Csf1r|Lrp2|Itgb5|Lrp8|Inpp5k|Sfrp1|Sort1|Vegfb|Spg21|Ramp2|Npnt|Wfikkn2,-2.6013592815746382,0,3,1,1,-6.1461464182685495,8.481641814975147,
1,-5.618301711769864,GO:0071363,M1,1,0,GO Biological Processes,19,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-5.618301711769864,4.900504159763419,6.454730848327984,21160,567,99,13,13.131313131313131,3.3944397918942557,12162|12359|12978|14725|16419|16975|19062|20377|20661|22340|54409|114249|278507,Bmp7|Cat|Csf1r|Lrp2|Itgb5|Lrp8|Inpp5k|Sfrp1|Sort1|Vegfb|Ramp2|Npnt|Wfikkn2,-2.277634557731878,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-3.500086047314876,GO:0032355,M1,1,0,GO Biological Processes,19,response to estradiol,19_GO:0050896 response to stimulus,-3.500086047314876,8.481641814975147,5.774932637583905,21160,126,99,5,5.05050505050505,2.200878850596578,12162|12359|14598|14751|20377,Bmp7|Cat|Ggt1|Gpi1|Sfrp1,-0.7815070597967165,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.885828369030665,GO:0001657,M1,1,0,GO Biological Processes,19,ureteric bud development,19_GO:0032502 developmental process,-2.885828369030665,8.464846484648465,5.155708657552481,21160,101,99,4,4.040404040404041,1.9789690695126556,12162|12359|20377|114249,Bmp7|Cat|Sfrp1|Npnt,-0.4336176799737227,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.8235299899824096,GO:0072163,M1,1,0,GO Biological Processes,19,mesonephric epithelium development,19_GO:0032502 developmental process,-2.8235299899824096,8.142376142376143,5.030201901923503,21160,105,99,4,4.040404040404041,1.9789690695126556,12162|12359|20377|114249,Bmp7|Cat|Sfrp1|Npnt,-0.3926862055953352,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.8235299899824096,GO:0072164,M1,1,0,GO Biological Processes,19,mesonephric tubule development,19_GO:0032502 developmental process,-2.8235299899824096,8.142376142376143,5.030201901923503,21160,105,99,4,4.040404040404041,1.9789690695126556,12162|12359|20377|114249,Bmp7|Cat|Sfrp1|Npnt,-0.3926862055953352,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.778519520904078,GO:0001823,M1,1,0,GO Biological Processes,19,mesonephros development,19_GO:0032502 developmental process,-2.778519520904078,7.916199027310139,4.9403572162806295,21160,108,99,4,4.040404040404041,1.9789690695126556,12162|12359|20377|114249,Bmp7|Cat|Sfrp1|Npnt,-0.37117653405071444,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.721745384699317,GO:0090092,M1,1,0,GO Biological Processes,19,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0050896 response to stimulus,-2.721745384699317,4.646464646464647,4.180665096298288,21160,276,99,6,6.0606060606060606,2.3980835366759585,12162|14725|20377|66354|114249|278507,Bmp7|Lrp2|Sfrp1|Snw1|Npnt|Wfikkn2,-0.3588018359501785,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.65891127891436,GO:0141091,M1,1,0,GO Biological Processes,19,transforming growth factor beta receptor superfamily signaling pathway,19_GO:0050896 response to stimulus,-2.65891127891436,5.508695199416849,4.325333745290415,21160,194,99,5,5.05050505050505,2.200878850596578,12162|16419|20377|114249|278507,Bmp7|Itgb5|Sfrp1|Npnt|Wfikkn2,-0.3127812291748713,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.5281532895664327,GO:0007167,M1,1,0,GO Biological Processes,19,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-2.5281532895664327,3.024585477415666,3.5543430736389032,21160,636,99,9,9.090909090909092,2.889280573471492,12162|12978|16419|20377|20661|22340|27965|114249|278507,Bmp7|Csf1r|Itgb5|Sfrp1|Sort1|Vegfb|Spg21|Npnt|Wfikkn2,-0.2528790970904379,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.5104848738498666,GO:0007178,M1,1,0,GO Biological Processes,19,cell surface receptor protein serine/threonine kinase signaling pathway,19_GO:0050896 response to stimulus,-2.5104848738498666,5.088985088985089,4.0828068343288795,21160,210,99,5,5.05050505050505,2.200878850596578,12162|16419|20377|114249|278507,Bmp7|Itgb5|Sfrp1|Npnt|Wfikkn2,-0.2528254153831981,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.3018357594319134,GO:0090287,M1,1,0,GO Biological Processes,19,regulation of cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.3018357594319134,3.816738816738817,3.5682872846052964,21160,336,99,6,6.0606060606060606,2.3980835366759585,14725|20377|22340|66354|114249|278507,Lrp2|Sfrp1|Vegfb|Snw1|Npnt|Wfikkn2,-0.1479837298413814,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.1677516931573537,GO:0072073,M1,1,0,GO Biological Processes,19,kidney epithelium development,19_GO:0032502 developmental process,-2.1677516931573537,5.343434343434344,3.7810226366994475,21160,160,99,4,4.040404040404041,1.9789690695126556,12162|12359|20377|114249,Bmp7|Cat|Sfrp1|Npnt,-0.06387363852866035,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.1123972990203748,GO:0071560,M1,1,0,GO Biological Processes,19,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-2.1123972990203748,5.150298162346355,3.6805389506018527,21160,166,99,4,4.040404040404041,1.9789690695126556,16419|20377|114249|278507,Itgb5|Sfrp1|Npnt|Wfikkn2,-0.04184986545937796,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.0873075489296857,GO:0033273,M1,1,0,GO Biological Processes,19,response to vitamin,19_GO:0050896 response to stimulus,-2.0873075489296857,7.2865013774104685,4.051568116500613,21160,88,99,3,3.0303030303030303,1.7228340715604882,12162|12359|20377,Bmp7|Cat|Sfrp1,-0.03423424651011352,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-2.042149341536267,GO:0071559,M1,1,0,GO Biological Processes,19,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-2.042149341536267,4.913502844537327,3.5538665539478718,21160,174,99,4,4.040404040404041,1.9789690695126556,16419|20377|114249|278507,Itgb5|Sfrp1|Npnt|Wfikkn2,-0.013236048554034931,0,3,0,0,-6.1461464182685495,8.481641814975147,
1,-4.833911876553981,R-MMU-75105,M1,1,0,Reactome Gene Sets,6,Fatty acyl-CoA biosynthesis,,-4.833911876553981,26.71717171717172,9.981473826527724,21160,32,99,4,4.040404040404041,1.9789690695126556,20250|54325|106529|216739,Scd2|Elovl1|Tecr|Acsl6,-1.6231665863543592,0,4,1,1,-4.833911876553981,29.146005509641874,
