"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abhd17a",0.151,0.157,0.16,0.158,-0.025721827784964,0.725699153630582,1,-0.0138777257574176,0.51654813976464,1,0.046386932982311,0.590773247867608,1
"Abhd17b",0.069,0.069,0.075,0.09,0.0456006189804934,0.963537028618307,1,0.0392825040169864,0.425443220655008,1,0.318717501583327,0.014545318509119,1
"Abhd17c",0.05,0.07,0.066,0.062,0.494491551444846,0.00926958405070893,1,0.219156872632419,0.0322877033938758,1,0.145746978674844,0.104348016866452,1
"Abhd18",0.013,0.016,0.022,0.022,0.418899150244836,0.463279936853596,1,0.640256124698466,0.0240478239510144,1,0.664214067609095,0.0283274865175479,1
"Abhd2",0.903,0.918,0.924,0.91,0.159471483891775,1.17041946981892e-07,0.0019248718600642,0.216549030660556,1.07096167290756e-15,1.76130356726377e-11,0.113889490357695,0.000212678457670585,1
"Abhd3",0.056,0.064,0.066,0.058,0.145596408957215,0.327975466385475,1,0.175826378823263,0.171697843189031,1,0.0658310511256164,0.787472170006021,1
"Abhd4",0.114,0.133,0.154,0.135,0.157001172229464,0.0806899543168361,1,0.302372742782574,0.000190693083265497,1,0.171247350968711,0.0414519549017724,1
"Abhd5",0.122,0.142,0.158,0.147,0.207688753325935,0.0684778663250849,1,0.301606581747782,0.000936596589413062,1,0.210236879063905,0.0211155911762346,1
"Abhd6",0.057,0.063,0.054,0.074,0.154158422460639,0.45318840724442,1,-0.183612510963593,0.612547989538907,1,0.35778706626192,0.0265986616981824,1
"Abhd8",0.228,0.27,0.275,0.25,0.234631670026308,0.0031910778473836,1,0.204885623322614,0.000875566602626907,1,0.113262926107009,0.109470015492084,1
"Abi1",0.094,0.093,0.1,0.11,0.0250399992209096,0.974989695279588,1,0.0617198931367415,0.491293258553418,1,0.262754974830791,0.0806997525103197,1
"Abi2",0.044,0.054,0.053,0.064,0.310934140903875,0.1586547759298,1,0.194357661714861,0.160048323059315,1,0.494289066166782,0.00512813505548419,1
"Abi3",0,0,0,0.002,-0.491833511658077,1,1,-1.10820510830557,1,1,2.24917656833025,0.0543574272958525,1
"Abi3bp",0.015,0.018,0.016,0.013,0.224373522341332,0.540019741851795,1,0.0844399696368257,0.756739850933941,1,-0.0276636370285734,0.51216993149973,1
"Abitram",0.018,0.021,0.018,0.024,0.105407318841515,0.43468586492485,1,-0.264324310222853,0.872159461798144,1,0.236792843874418,0.190976018156122,1
"Abl1",0.06,0.05,0.05,0.05,-0.28538263419065,0.133098705819393,1,-0.25747063918179,0.115089225275949,1,-0.283318512496771,0.13693700037854,1
"Abl2",0.006,0.017,0.021,0.025,1.56706017739549,0.00248070270646056,1,1.69914981375203,8.51526823043005e-05,1,2.04887791784442,3.79350903013871e-06,0.0623880495096613
"Ablim1",0.018,0.01,0.027,0.046,-0.643836605103127,0.0508979592701355,1,0.558551483579233,0.0447195696836006,1,1.23305690296697,9.02920811617371e-07,0.0148494356678593
"Ablim2",0,0,0,0.003,-0.491833511658077,1,1,-1.10820510830557,1,1,2.66421406760909,0.0396806712719287,1
"Ablim3",0,0.001,0.003,0,1.50816648834192,0.233118240491287,1,2.47675739241559,0.0311217246312694,1,-0.920748433112063,1,1
"Abo",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Abr",0.151,0.161,0.158,0.171,-0.0231240794327685,0.525873370765409,1,-0.0691799513235076,0.665349451325997,1,0.122799282560695,0.109131684374808,1
"Abracl",0.064,0.059,0.062,0.062,-0.167635243145888,0.467008353937483,1,-0.160251856075166,0.721669356603832,1,-0.141248795107302,0.748314451531386,1
"Abraxas1",0.004,0.003,0.013,0.008,-0.202326894463091,0.68827284974478,1,1.42230960839321,0.00296226495114844,1,0.953720684804079,0.105330644084567,1
"Abraxas2",0.024,0.024,0.025,0.026,-0.135689701432801,0.971895180440891,1,-0.0378157804141726,0.873277401769428,1,-0.105173004249489,0.787753229825204,1
"Abt1",0.015,0.018,0.018,0.013,0.155864744411041,0.448552337491382,1,0.134651415590593,0.338826448257591,1,-0.304077072663568,0.682936401898258,1
"Abtb1",0.003,0.005,0.013,0.021,0.70081156628432,0.308405021863865,1,1.9424209647644,0.000586203813036316,1,2.57567739300744,1.1785776394101e-06,0.0193828878577385
"Abtb2",0.014,0.017,0.014,0.016,0.0425029159931114,0.542077434618516,1,-0.238265648869943,0.893458102125188,1,0.152007909323252,0.526832799588086,1
"AC150683.1",0.001,0,0,0,-1.49183351165808,0.235886626445626,1,-2.10820510830557,0.14214797476847,1,-0.920748433112063,0.646436562403815,1
"AC151602.1",0,0,0,0,-0.491833511658077,1,1,-0.108205108305571,0.496083774404169,1,-0.920748433112063,1,1
"Acaa1a",0.026,0.036,0.044,0.032,0.462362798728798,0.0983159078792035,1,0.741460618609998,0.00209317638808794,1,0.222209520729981,0.304099387408948,1
"Acaa1b",0.001,0,0.001,0.001,-2.07679601237923,0.0935643433505055,1,-1.10820510830557,0.431167753536715,1,-0.505710933833219,0.798376296606069,1
"Acaa2",0.343,0.384,0.409,0.349,0.10792599099116,0.0247263243921998,1,0.201441831891804,6.33945602286951e-05,1,-0.11788605025421,0.752930617126868,1
"Acaca",0.071,0.056,0.059,0.068,-0.307801564020389,0.0555143906922692,1,-0.330597529642019,0.0863817060071166,1,-0.00667861189923835,0.705156757554149,1
"Acacb",0.01,0.01,0.011,0.011,-0.14391020823777,0.990322434356969,1,-0.175319304164107,0.831748368032261,1,-0.132252538305774,0.93305106520099,1
"Acad10",0.031,0.025,0.022,0.021,-0.330082441661465,0.270102710085718,1,-0.483053517468716,0.0796662020120085,1,-0.517989263611655,0.0418992102705341,1
"Acad11",0.112,0.126,0.129,0.125,0.146492214661804,0.168985151340243,1,0.154829297528223,0.0824856751411336,1,0.0571287559897979,0.231435170406998,1
"Acad12",0.001,0.001,0.001,0.001,0.508166488341923,0.501586911077157,1,-0.523242607584415,0.951339387331841,1,0.0792515668879368,0.964212745592357,1
"Acad8",0.093,0.118,0.122,0.119,0.397608113194224,0.00983302391185677,1,0.341879338072474,0.00236467329148589,1,0.370906650661499,0.00608774143234382,1
"Acad9",0.038,0.037,0.042,0.043,-0.185172173424025,0.835283077576485,1,0.0532583143885459,0.602809483339544,1,0.0407774190733026,0.515287979392208,1
"Acadl",0.3,0.328,0.366,0.307,0.111906196093707,0.0713253999497452,1,0.268528502796634,7.35363731639013e-06,0.120937919305352,-0.0411339737530596,0.830190785845921,1
"Acadm",0.058,0.06,0.078,0.072,0.0708990416796138,0.786858398141752,1,0.427391315094606,0.00856103684458639,1,0.371763173798565,0.0572718036712739,1
"Acads",0.059,0.065,0.08,0.068,0.164961733824146,0.445052458447664,1,0.354766868036975,0.00862870782784538,1,0.179653463845775,0.245057588705889,1
"Acadsb",0.081,0.103,0.125,0.107,0.305432592775944,0.0203148644883372,1,0.564910023323287,3.97700459260363e-06,0.0654058175299594,0.336409406385062,0.0045079531864994,1
"Acadvl",0.18,0.209,0.222,0.201,0.195227176681815,0.0273537802252494,1,0.238042665777205,0.000889587195321396,1,0.1323629033475,0.0828164601684159,1
"Acan",0,0,0,0.001,-0.491833511658077,1,1,-1.10820510830557,1,1,0.664214067609093,0.304118383374333,1
"Acap1",0,0,0.001,0,-0.491833511658077,1,1,0.476757392415585,0.335551318426755,1,-0.920748433112063,1,1
"Acap2",0.029,0.023,0.039,0.047,-0.246721013821545,0.221206473816123,1,0.503229603776777,0.0766846192652544,1,0.863522875832501,0.00302230364933068,1
"Acap3",0.012,0.018,0.018,0.028,0.192664662613995,0.121544912936396,1,0.351226510331727,0.0739873188405564,1,0.958397172013552,0.000355328974064727,1
"Acat1",0.223,0.223,0.266,0.225,0.0370652571501422,0.981648626497839,1,0.227454514180069,0.00157188262795559,1,-0.00727427683586912,0.977060110790011,1
"Acat2",0.031,0.03,0.031,0.034,0.000562870327006415,0.898767895239899,1,-0.120483438084007,0.992877637395323,1,0.0167874799412839,0.624202037956878,1
"Acat3",0.013,0.008,0.015,0.008,-0.826252550728636,0.1565526455922,1,-0.108205108305571,0.59839142075064,1,-0.824533117852758,0.140496205691001,1
"Acbd3",0.076,0.081,0.085,0.082,0.145596408957215,0.527357493516271,1,0.102012599084775,0.265691009621552,1,0.060268463520365,0.493041179245918,1
"Acbd4",0.012,0.017,0.019,0.022,0.569567033006066,0.141622505261913,1,0.577686301266366,0.0470172498148055,1,0.725614612273238,0.0143650916624828,1
"Acbd5",0.109,0.116,0.112,0.119,0.0624787762228944,0.554778896800835,1,0.0102683615742847,0.769966241048445,1,0.108202940584067,0.342647771707586,1
"Acbd6",0.027,0.032,0.03,0.035,0.147576773085455,0.384002587243543,1,0.180039860325503,0.528965659858428,1,0.423205968105298,0.110647829744654,1
"Acbd7",0.001,0.003,0,0.001,1.67809148978423,0.0950708354150883,1,-1.10820510830557,0.577953831413489,1,0.0792515668879368,0.687571709320022,1
"Accs",0.016,0.021,0.02,0.015,0.160243184921616,0.227490370396737,1,0.0104393881930491,0.336932721093438,1,-0.268671736532369,0.840395824554643,1
