"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abhd17b",0.17,0.167,0.22,0.23,-0.00365225436503858,0.935137096839799,1,0.390070141670379,0.118204371600963,1,0.431822535878894,0.0576198173808636,1
"Abhd17c",0.022,0.028,0.064,0.044,0.504768691483124,0.641191012383756,1,1.53993035311598,0.0124256044876535,1,0.958125001290759,0.121324282007185,1
"Abhd18",0.079,0.068,0.067,0.041,-0.194836375179154,0.610969620480073,1,-0.0607994634634941,0.582926388325924,1,-0.979947249566039,0.0367117813741632,1
"Abhd2",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abhd3",0.137,0.143,0.169,0.16,-0.0238113393405128,0.850609496289953,1,0.158142358187129,0.315066304294544,1,0.279392672710014,0.408500917147122,1
"Abhd4",0.126,0.116,0.102,0.116,-0.0988094874053784,0.699304323546478,1,-0.374216058495339,0.343782885761953,1,-0.182887308236314,0.677387220565482,1
"Abhd5",0.047,0.024,0.067,0.031,-0.957337061452498,0.155098239001159,1,0.376264342145349,0.300838821193066,1,-0.688898467562648,0.285098356748512,1
"Abhd6",0.04,0.036,0.038,0.036,0.0166677300145572,0.825007613483493,1,-0.0607994634634945,0.932146303854788,1,-0.0674100908163782,0.819376719641304,1
"Abhd8",0.278,0.275,0.265,0.323,0.0578064248080439,0.978365437381254,1,0.0225031832310674,0.757156195585896,1,0.315508633960133,0.144772141553887,1
"Abi1",0.155,0.159,0.169,0.16,0.198782140464784,0.857885494353067,1,0.13406343972872,0.635375113856226,1,-0.0388409386196074,0.888618978667107,1
"Abi2",0.282,0.203,0.259,0.217,-0.519385170225652,0.0328621842553615,1,-0.127367080402484,0.516736894539374,1,-0.417596445745254,0.0504303767768552,1
"Abi3",0.152,0.139,0.188,0.137,0.0564687380725326,0.751548154235615,1,0.53267453711318,0.188241077751214,1,-0.228690997849439,0.587728218375327,1
"Abi3bp",0.004,0,0,0,-2.44276388862274,0.343068417052909,1,-2.76123918160459,0.289325957245647,1,-3.06741009081638,0.238421814811382,1
