"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Acads",0.027,0.015,0.022,0.015,-0.688585131795313,0.415270684829719,1,-0.432028936401615,0.695111285373838,1,-0.746145020940602,0.308588323098948,1
"Acadsb",0.144,0.124,0.114,0.101,-0.290035755305039,0.55456164846192,1,-0.518002159511469,0.272199855823071,1,-0.675061922879119,0.112904919159315,1
"Acadvl",0.266,0.337,0.318,0.292,0.230796407996402,0.167176719019869,1,0.0927721291027708,0.270926406302187,1,0.122610445781146,0.527290227004252,1
"Acan",0,0,0.002,0,-0.103622631074157,1,1,-0.306498054317756,0.527083349334328,1,-1.33110752166176,1,1
"Acap1",0.005,0.005,0,0,-0.103622631074157,0.962328764661774,1,-2.30649805431776,0.116572494009861,1,-2.33110752166176,0.113461687193033,1
"Acap2",0.138,0.198,0.181,0.154,0.415751528019422,0.128482111200291,1,0.341200201751362,0.193848953555033,1,0.137041314076648,0.605247332525419,1
"Acap3",0.245,0.351,0.286,0.222,0.395948378416354,0.0347849752991114,1,0.0546894710168331,0.383429913492063,1,-0.258351179226444,0.45508016572243,1
"Acat1",0.271,0.228,0.183,0.178,-0.403182912933065,0.265658629856461,1,-0.767339243209725,0.0080780822724853,1,-0.672896038909963,0.00629872502165417,1
"Acat2",0.005,0.035,0.03,0.027,1.89637736892584,0.0415950510049993,1,1.60039254129076,0.0558795381805137,1,1.47624740039585,0.0745674607480717,1
"Acat3",0.005,0,0,0,-1.10362263107416,0.302337338328329,1,-2.30649805431776,0.116572494009861,1,-2.33110752166176,0.113461687193033,1
"Acbd3",0.133,0.124,0.138,0.14,-0.103622631074157,0.786670331761758,1,-0.0559545926671596,0.903737541550539,1,0.0963137020729183,0.817150569684688,1
"Acbd4",0.037,0.074,0.071,0.063,0.726452367483531,0.117960348234527,1,0.611039785490271,0.107924783605151,1,0.58643031814627,0.188637581104966,1
"Acbd5",0.186,0.168,0.159,0.142,-0.205502245093371,0.586966801136507,1,-0.426079670070429,0.3265807107644,1,-0.432987135680971,0.144059291707254,1
"Acbd6",0.106,0.228,0.226,0.165,1.14791613592181,0.00124804040715448,1,1.08254423642814,0.000409956314501886,1,0.768428151889157,0.0485862525399818,1
"Acbd7",0.005,0.01,0.004,0.006,0.481339869646999,0.607348604982769,1,-0.7215355535966,0.863358436528054,1,-0.331107521661758,0.879780042995513,1
"Accs",0.027,0.02,0.013,0.013,-0.589049458244399,0.651923138285055,1,-1.30649805431776,0.21673857054126,1,-1.33110752166176,0.20572989233373,1
"Accsl",0.011,0.005,0.002,0.006,-0.688585131795313,0.523073813434396,1,-1.89146055503891,0.147291417625011,1,-0.916070022382914,0.566562592032301,1
"Acd",0.08,0.084,0.092,0.085,0.0663023703681551,0.876165082405825,1,0.2784644464034,0.587243378664357,1,0.192454434395255,0.819382951181258,1
"Ace",0.032,0.035,0.03,0.025,0.0890224468682383,0.881649401107257,1,-0.113852976375361,0.907734952554107,1,-0.331107521661758,0.645195218794195,1
"Ace2",0,0.005,0,0,0.896377368925843,0.337260175825304,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acer1",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acer2",0.043,0.035,0.024,0.036,0.0483804623708934,0.702563648110473,1,-0.669068133702464,0.198282002463041,1,-0.179104428216707,0.69646242474257,1
"Acer3",0.021,0.025,0.017,0.032,-0.326015052410606,0.827609393800242,1,-0.943927974933048,0.720764576292054,1,-0.0509996024690231,0.475406501783533,1
"Ache",0.468,0.515,0.398,0.342,0.24151285497453,0.505937710198613,1,-0.287132729450825,0.0384897711992947,1,-0.501641897998405,0.000697803363494511,1
"Acin1",0.303,0.386,0.378,0.345,0.28683684548402,0.154710935056567,1,0.245599812497773,0.116798682060803,1,0.152926070208617,0.362073771195283,1
"Ackr1",0.42,0.658,0.488,0.364,0.609620052307311,3.57402879551497e-05,0.587784775710393,-0.222316967387359,0.489795993657113,1,-0.606579030733774,0.0652540814453423,1
"Ackr2",0.005,0,0.002,0,-1.10362263107416,0.302337338328329,1,-1.30649805431776,0.50888554753872,1,-2.33110752166176,0.113461687193033,1
"Ackr3",0,0,0.002,0,-0.103622631074157,1,1,-0.306498054317756,0.527083349334328,1,-1.33110752166176,1,1
"Ackr4",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acly",0.394,0.391,0.402,0.366,-0.133679864930337,0.663893674039865,1,-0.131623836903711,0.797712727745192,1,-0.0121571265742909,0.570946721358396,1
"Acnat1",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Aco1",0.165,0.129,0.118,0.125,-0.478018145855655,0.295383203032099,1,-0.553138021900882,0.109543043629805,1,-0.270565979726707,0.199254385658718,1
"Aco2",0.133,0.168,0.133,0.108,0.336949960311824,0.32943706672621,1,-0.136573052875444,0.971444758790753,1,-0.331107521661758,0.360766182177698,1
"Acod1",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acot1",0,0.005,0.006,0.004,0.896377368925843,0.337260175825304,1,0.693501945682244,0.270873704387373,1,0.253854979059398,0.373525822849022,1
"Acot11",0,0.02,0.015,0.025,2.481339869647,0.0530716992492389,1,2.01543004056961,0.0912612260215066,1,2.57578307394676,0.027712424032197,1
"Acot12",0,0.005,0.004,0,0.896377368925843,0.337260175825304,1,0.2784644464034,0.369442027981191,1,-1.33110752166176,1,1
"Acot13",0.138,0.064,0.069,0.063,-1.15092834585251,0.0147272448309794,1,-1.13141134775967,0.00445981948039947,1,-1.15602081510367,0.00180703008621655,1
"Acot2",0.016,0.005,0.011,0.008,-1.10362263107416,0.282799289692822,1,-0.7215355535966,0.585199067999304,1,-0.746145020940602,0.398568791509675,1
"Acot4",0,0,0.002,0.002,-0.103622631074157,1,1,-0.306498054317756,0.527083349334328,1,-0.331107521661758,0.530598125263707,1
"Acot6",0.005,0.01,0,0,0.896377368925843,0.60527256165543,1,-2.30649805431776,0.116572494009861,1,-2.33110752166176,0.113461687193033,1
"Acot7",0.234,0.337,0.34,0.288,0.455804777539861,0.0320467716351321,1,0.482663750973878,0.0110860048714638,1,0.303608014256498,0.160059609117777,1
"Acot8",0.064,0.05,0.06,0.051,-0.451545934494464,0.533953246806502,1,-0.11385297637536,0.865572569677793,1,-0.494606253944637,0.495418499010138,1
"Acot9",0,0.005,0.004,0.002,0.896377368925843,0.337260175825304,1,0.2784644464034,0.369442027981191,1,0.668892478338242,0.530598125263707,1
"Acox1",0.266,0.188,0.222,0.216,-0.621470935936776,0.0615333634404707,1,-0.413413258234268,0.184819162341305,1,-0.462897394217299,0.141472248770088,1
"Acox2",0,0,0,0.002,-0.103622631074157,1,1,-1.30649805431776,1,1,-0.331107521661758,0.530598125263707,1
"Acox3",0.059,0.104,0.092,0.074,0.780900151505906,0.102767636375772,1,0.578024728262307,0.156978554666154,1,0.290380855084512,0.478183042629463,1
"Acoxl",0.011,0.005,0.006,0.002,-0.688585131795313,0.523073813434396,1,-0.891460555038912,0.579731700722446,1,-1.91607002238291,0.142143347382949,1
"Acp1",0.117,0.134,0.118,0.125,-0.051155211180022,0.682381380133092,1,-0.154494960872707,0.993134121993791,1,0.0225294329529424,0.809537415254324,1
"Acp2",0.053,0.074,0.058,0.061,0.436945750288546,0.397592832396213,1,0.0920513221725185,0.803494826906591,1,0.296923700951285,0.673851807735679,1
"Acp5",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acp6",0.059,0.109,0.067,0.049,0.513048729374337,0.0814428379805123,1,-0.213388649926275,0.726051334482654,1,-0.537558399129185,0.593806344276939,1
"Acpp",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
"Acr",0.021,0.015,0.002,0.008,-0.42555072596152,0.634817227787509,1,-2.62842614920512,0.0112371886952332,1,-1.06807311582796,0.176099989543383,1
"Acrbp",0.128,0.149,0.108,0.078,0.0956861771492488,0.58298257009006,1,-0.306498054317756,0.45613360895321,1,-0.800592804962978,0.0453669288860872,1
"Acrv1",0,0,0,0,-0.103622631074157,1,1,-1.30649805431776,1,1,-1.33110752166176,1,1
