p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
6.25182737670011e-14,0.529379553047576,0.633,0.446,2.01496396351045e-09,3,Nudc,0.187,0.118371
7.76486584766738e-14,0.772941210564623,0.344,0.188,2.5026162627032e-09,3,Ptprn,0.156,0.053664
8.8184718514529e-14,0.499405893306995,0.671,0.476,2.84219347772327e-09,3,Btbd1,0.195,0.130845
1.69395374394159e-13,0.581362169556489,0.565,0.385,5.45961291672374e-09,3,Nrm,0.18,0.1017
3.1192639534155e-13,0.59147533716463,0.541,0.361,1.00533877218582e-08,3,Cfap97,0.18,0.09738
4.77792947147837e-13,0.698981763466846,0.421,0.26,1.53992666865748e-08,3,Zfp365,0.161,0.067781
5.5911509550895e-13,0.887037124075128,0.322,0.184,1.80202795282535e-08,3,Chga,0.138,0.044436
8.2198588904367e-13,0.29877210181881,0.906,0.776,2.64926052038775e-08,3,Samd7,0.13,0.11778
8.44838061721963e-13,0.543982311401243,0.581,0.407,2.72291307292989e-08,3,Vps28,0.174,0.101094
8.88489621786048e-13,0.527200995426915,0.621,0.438,2.86360205101643e-08,3,Ice1,0.183,0.113643
1.00706045996837e-12,0.644246027780786,0.471,0.302,3.24575586247805e-08,3,Gcc1,0.169,0.079599
1.05212883516284e-12,0.66283658428478,0.421,0.256,3.39101123572983e-08,3,Eid2,0.165,0.069465
1.06152810477283e-12,0.556234871083842,0.527,0.345,3.42130508168282e-08,3,Tars,0.182,0.095914
1.13702463322748e-12,0.54440398213775,0.569,0.387,3.66463039289216e-08,3,Zbtb22,0.182,0.103558
1.15524270975501e-12,0.350722656878204,0.859,0.719,3.7233472535404e-08,3,Amer2,0.14,0.12026
1.55529827959212e-12,0.448552719420944,0.72,0.541,5.0127263551254e-08,3,Nap1l1,0.179,0.12888
1.83839884890652e-12,0.357304868228399,0.84,0.714,5.9251594900257e-08,3,Gpsm2,0.126,0.10584
1.92730267676891e-12,0.791796455380971,0.405,0.259,6.2116965272262e-08,3,Klhl21,0.146,0.05913
2.04386312432573e-12,0.425075058725086,0.732,0.544,6.58737084970183e-08,3,Ankrd11,0.188,0.137616
2.66335984566737e-12,0.503628918981693,0.633,0.456,8.58400878258593e-08,3,Khdrbs1,0.177,0.112041
