_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2,R-MMU-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER,M1,1,0
1,-2.2,GO:0097352,autophagosome maturation,M1,1,0
1,-3.3,WP157,Glycolysis and gluconeogenesis,M1,1,0
1,-3,GO:1903432,regulation of TORC1 signaling,M1,1,0
1,-8,R-MMU-5668541,TNFR2 non-canonical NF-kB pathway,M1,1,0
1,-3.4,R-MMU-73893,DNA Damage Bypass,M1,1,0
1,-2.4,R-MMU-9864848,Complex IV assembly,M1,1,0
1,-11,R-MMU-349425,Autodegradation of the E3 ubiquitin ligase COP1,M1,1,0
1,-11,R-MMU-8878166,Transcriptional regulation by RUNX2,M1,1,0
1,-2.5,mmu01230,Biosynthesis of amino acids - Mus musculus (house mouse),M1,1,0
1,-2.8,GO:0050821,protein stabilization,M1,1,0
1,-4.3,GO:0019080,viral gene expression,M1,1,0
1,-7.1,R-MMU-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-2.1,mmu05161,Hepatitis B - Mus musculus (house mouse),M1,1,0
1,-9.6,R-MMU-5658442,Regulation of RAS by GAPs,M1,1,0
1,-8.2,R-MMU-69239,Synthesis of DNA,M1,1,0
1,-6,R-MMU-983168,Antigen processing: Ubiquitination & Proteasome degradation,M1,1,0
1,-10,R-MMU-1169091,Activation of NF-kappaB in B cells,M1,1,0
1,-2.7,R-MMU-437239,Recycling pathway of L1,M1,1,0
1,-13,R-MMU-350562,Regulation of ornithine decarboxylase (ODC),M1,1,0
1,-8.9,R-MMU-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,M1,1,0
1,-11,R-MMU-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,M1,1,0
1,-10,R-MMU-202424,Downstream TCR signaling,M1,1,0
1,-2.1,GO:1900542,regulation of purine nucleotide metabolic process,M1,1,0
1,-3.3,R-MMU-6798695,Neutrophil degranulation,M1,1,0
1,-3.6,GO:0042775,mitochondrial ATP synthesis coupled electron transport,M1,1,0
1,-2.1,GO:0140352,export from cell,M1,1,0
1,-2.1,GO:0031333,negative regulation of protein-containing complex assembly,M1,1,0
1,-11,mmu05012,Parkinson disease - Mus musculus (house mouse),M1,1,0
1,-4.6,GO:0022904,respiratory electron transport chain,M1,1,0
1,-2.3,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-2.3,GO:0009062,fatty acid catabolic process,M1,1,0
1,-2.9,GO:1902532,negative regulation of intracellular signal transduction,M1,1,0
1,-3.3,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",M1,1,0
1,-6.3,GO:0044282,small molecule catabolic process,M1,1,0
1,-2.1,GO:0006140,regulation of nucleotide metabolic process,M1,1,0
1,-2.7,GO:0031398,positive regulation of protein ubiquitination,M1,1,0
1,-5.8,GO:0016054,organic acid catabolic process,M1,1,0
1,-2.2,GO:0043648,dicarboxylic acid metabolic process,M1,1,0
1,-5.9,R-MMU-68886,M Phase,M1,1,0
1,-2.7,GO:0170035,L-amino acid catabolic process,M1,1,0
1,-2.3,GO:0034440,lipid oxidation,M1,1,0
1,-2.8,GO:0006536,glutamate metabolic process,M1,1,0
1,-2.3,R-MMU-1227986,Signaling by ERBB2,M1,1,0
1,-2.6,R-MMU-9663891,Selective autophagy,M1,1,0
1,-9.6,R-MMU-174154,APC/C:Cdc20 mediated degradation of Securin,M1,1,0
1,-4.8,GO:0044248,cellular catabolic process,M1,1,0
1,-12,R-MMU-351202,Metabolism of polyamines,M1,1,0
1,-2.2,GO:0014015,positive regulation of gliogenesis,M1,1,0
1,-2.4,GO:0019395,fatty acid oxidation,M1,1,0
1,-2.3,GO:0009267,cellular response to starvation,M1,1,0
1,-2.1,GO:0051602,response to electrical stimulus,M1,1,0
1,-11,R-MMU-5607761,Dectin-1 mediated noncanonical NF-kB signaling,M1,1,0
1,-7.2,R-MMU-5673001,RAF/MAP kinase cascade,M1,1,0
1,-2.3,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-2,GO:0046032,ADP catabolic process,M1,1,0
1,-11,R-MMU-69541,Stabilization of p53,M1,1,0
1,-11,R-MMU-4641258,Degradation of DVL,M1,1,0
1,-5.2,GO:0010498,proteasomal protein catabolic process,M1,1,0
1,-2.1,mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (house mouse),M1,1,0
1,-9.7,R-MMU-1236978,Cross-presentation of soluble exogenous antigens (endosomes),M1,1,0
1,-4.8,GO:0019081,viral translation,M1,1,0
1,-2.4,GO:0007160,cell-matrix adhesion,M1,1,0
1,-2.2,GO:0032006,regulation of TOR signaling,M1,1,0
1,-2.3,GO:0032984,protein-containing complex disassembly,M1,1,0
1,-2.7,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),M1,1,0
1,-4.7,R-MMU-212436,Generic Transcription Pathway,M1,1,0
1,-2.2,R-MMU-5173105,O-linked glycosylation,M1,1,0
1,-3.8,R-MMU-5628897,TP53 Regulates Metabolic Genes,M1,1,0
1,-2.8,R-MMU-9033241,Peroxisomal protein import,M1,1,0
1,-2.3,mmu00190,Oxidative phosphorylation - Mus musculus (house mouse),M1,1,0
1,-3.2,GO:0031589,cell-substrate adhesion,M1,1,0
1,-2.2,GO:0072599,establishment of protein localization to endoplasmic reticulum,M1,1,0
1,-9.6,R-MMU-69615,G1/S DNA Damage Checkpoints,M1,1,0
1,-5.1,GO:0019646,aerobic electron transport chain,M1,1,0
1,-3.1,R-MMU-199991,Membrane Trafficking,M1,1,0
1,-3.3,GO:0030970,"retrograde protein transport, ER to cytosol",M1,1,0
1,-9.8,R-MMU-5358351,Signaling by Hedgehog,M1,1,0
1,-10,R-MMU-5610787,Hedgehog 'off' state,M1,1,0
1,-2.2,WP723,Wnt signaling pathway and pluripotency,M1,1,0
1,-6.1,R-MMU-69620,Cell Cycle Checkpoints,M1,1,0
1,-5.9,R-MMU-69278,"Cell Cycle, Mitotic",M1,1,0
1,-6.1,R-MMU-8878171,Transcriptional regulation by RUNX1,M1,1,0
1,-2.1,GO:0006094,gluconeogenesis,M1,1,0
1,-3.1,GO:0036503,ERAD pathway,M1,1,0
1,-2.2,GO:0007626,locomotory behavior,M1,1,0
1,-2.3,GO:0010608,post-transcriptional regulation of gene expression,M1,1,0
1,-12,R-MMU-5358346,Hedgehog ligand biogenesis,M1,1,0
1,-2.3,GO:0019751,polyol metabolic process,M1,1,0
1,-8.6,mmu03050,Proteasome - Mus musculus (house mouse),M1,1,0
1,-8.5,R-MMU-68867,Assembly of the pre-replicative complex,M1,1,0
1,-4.9,mmu05017,Spinocerebellar ataxia - Mus musculus (house mouse),M1,1,0
1,-2.7,GO:0072329,monocarboxylic acid catabolic process,M1,1,0
1,-7.9,R-MMU-69481,G2/M Checkpoints,M1,1,0
1,-2.1,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),M1,1,0
1,-4.8,R-MMU-446388,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,M1,1,0
1,-2.4,GO:0030111,regulation of Wnt signaling pathway,M1,1,0
1,-3,GO:0032527,protein exit from endoplasmic reticulum,M1,1,0
1,-4.3,R-MMU-5357801,Programmed Cell Death,M1,1,0
1,-2.4,GO:1901873,regulation of post-translational protein modification,M1,1,0
1,-9.1,R-MMU-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,M1,1,0
1,-2.5,R-MMU-5674135,MAP2K and MAPK activation,M1,1,0
1,-2.5,R-MMU-2565942,Regulation of PLK1 Activity at G2/M Transition,M1,1,0
1,-7,R-MMU-195721,Signaling by WNT,M1,1,0
1,-8.9,R-MMU-69002,DNA Replication Pre-Initiation,M1,1,0
1,-9,R-MMU-195253,Degradation of beta-catenin by the destruction complex,M1,1,0
1,-9.6,R-MMU-174084,Autodegradation of Cdh1 by Cdh1:APC/C,M1,1,0
1,-11,R-MMU-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,M1,1,0
1,-8.6,R-MMU-9907900,Proteasome assembly,M1,1,0
1,-4.4,R-MMU-449147,Signaling by Interleukins,M1,1,0
1,-3.3,GO:1903513,endoplasmic reticulum to cytosol transport,M1,1,0
1,-9.8,R-MMU-8953897,Cellular responses to stimuli,M1,1,0
1,-9.3,R-MMU-2871837,FCERI mediated NF-kB activation,M1,1,0
1,-2.9,GO:0009063,amino acid catabolic process,M1,1,0
1,-8.2,R-MMU-1257604,PIP3 activates AKT signaling,M1,1,0
1,-2.4,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-8.5,R-MMU-69275,G2/M Transition,M1,1,0
1,-2.3,GO:1901605,alpha-amino acid metabolic process,M1,1,0
1,-2.7,GO:0031647,regulation of protein stability,M1,1,0
1,-2.1,GO:0007179,transforming growth factor beta receptor signaling pathway,M1,1,0
1,-2,R-MMU-422475,Axon guidance,M1,1,0
1,-2.5,WP85,Focal adhesion,M1,1,0
1,-4.5,R-MMU-8953854,Metabolism of RNA,M1,1,0
1,-5.5,GO:0043632,modification-dependent macromolecule catabolic process,M1,1,0
1,-2.4,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2.9,mmu05415,Diabetic cardiomyopathy - Mus musculus (house mouse),M1,1,0
1,-8.6,R-MMU-69206,G1/S Transition,M1,1,0
1,-7.3,R-MMU-68882,Mitotic Anaphase,M1,1,0
1,-2,GO:0019319,hexose biosynthetic process,M1,1,0
1,-2.3,GO:1903578,regulation of ATP metabolic process,M1,1,0
1,-2.2,WP373,IL 3 signaling pathway,M1,1,0
1,-8.3,WP519,Proteasome degradation,M1,1,0
1,-7.3,mmu05010,Alzheimer disease - Mus musculus (house mouse),M1,1,0
1,-4.4,mmu04140,Autophagy - animal - Mus musculus (house mouse),M1,1,0
1,-3.7,R-MMU-446203,Asparagine N-linked glycosylation,M1,1,0
1,-2.5,GO:0034391,regulation of smooth muscle cell apoptotic process,M1,1,0
1,-3.9,WP193,Hepatocyte growth factor receptor signaling,M1,1,0
1,-3.3,R-MMU-611105,Respiratory electron transport,M1,1,0
