"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6"
"Nbeal1",-0.0751927396557356,0.999455473488465,0.0438785690657101,0.977374707066814,0.121415429850766,0.681000016378584,0.356087849224415,0.021857493159343,-0.443974765603066,8.12993059413804e-05,0.0252730431694273,0.948245525721622
"Ncam1",0.364619585845086,0.509030343382101,-0.281482424727025,0.913637345651906,-0.110040635077341,0.837473258317133,-0.386759029721075,0.13154801254996,0.193371627661648,0.32784828994067,0.250499219733482,0.578459372281801
"Ncapd3",-0.0671688223819182,0.999455473488465,0.262265477346688,0.918480344932163,0.286638224766103,0.498417905076461,0.382474839430404,0.117858035699547,-0.77567055965175,4.00040242534183e-06,-0.0650971369741615,0.921378191680938
"Nceh1",0.126528826768638,0.510663696151064,-0.0190072578023924,0.977374707066814,-0.0695327656038164,0.668649064491815,-0.00559644808389362,0.953913568447374,0.00919346416604111,0.913557069459891,-0.0513121731884613,0.760839105180544
"Ncoa2",0.393020744748979,0.356827520812698,0.170011555148921,0.972599774869665,-0.191034302063078,0.645950439274603,-0.185347007529006,0.470274581892773,-0.443154502978468,0.00904499344386371,0.32620073150757,0.401346289986301
"Ncoa3",0.00202111670816213,0.999455473488465,0.0800691283125248,0.517300844635273,0.00633949778270609,0.946981008971123,-0.0303732660257002,0.540004124197897,-0.0689701087425444,0.0534290992830543,0.0154031876605304,0.888625490870245
"Ndfip1",0.740199551784445,0.470323123187277,0.00775783070225367,0.997632167016267,-0.86531521518582,0.163759009070925,-1.20232793464732,0.0110475490403945,0.604069767089067,0.138347868369597,0.814615173354486,0.307770612932109
"Ndn",0.102938826328376,0.887433392115363,0.0514181831613947,0.977374707066814,-0.107976966152844,0.616476366902275,-0.0859121019950599,0.503707431439994,0.0273320895047531,0.802339639186902,0.011317368129427,0.970633203377904
"Ndrg1",0.511756253740486,0.577098974492182,0.527774135112229,0.827589055563426,-0.136805499653089,0.865791139710513,-0.257419154730386,0.554687922240909,-1.02083134813104,0.000473100273297584,0.493702191502063,0.451890209952586
"Ndst1",0.0201081732958542,0.999455473488465,0.205946614086926,0.972599774869665,0.100542828740277,0.843599776497764,0.0387206773803173,0.88378236836165,-0.634577299093983,0.000264040931582494,0.355982174463915,0.36059173438619
"Ndufa1",0.291258980923387,0.674187738274718,-0.247309849352076,0.960590090319162,-0.44300952422426,0.172390021377476,-0.317728358894949,0.206363207658555,0.49920804293951,0.0143297954214945,0.235412709502454,0.588634532532619
"Ndufa10",0.345344117788122,0.330016728033653,0.160834144483926,0.972599774869665,-0.338565894151208,0.15215683276644,-0.121887982123568,0.55662179461468,-0.157423200428652,0.289497793436709,0.139008932555077,0.691368385756139
"Ndufa12",0.212218369223345,0.67638234784171,0.0366893530488555,0.977374707066814,0.0108295908898031,0.981900583799296,-0.0676023995991439,0.74884547106338,-0.151764345937269,0.319927236071971,-0.0444925130614746,0.926611159985448
"Ndufa13",0.414477451148013,0.341845155701494,-0.103802541740402,0.977374707066814,-0.341420380818478,0.335439695096991,-0.446903935585082,0.0516894271827133,0.338563712417511,0.0859131147071858,0.143355703057113,0.750040707522255
"Ndufa2",0.295068651367085,0.525430681176384,-0.0733827852396509,0.977374707066814,-0.376113807187814,0.162275825146243,-0.377976215659609,0.0614890340259689,0.423309244523561,0.0110543327188166,0.104885289418845,0.801772583785157
"Ndufa3",0.125655733822724,0.978605173103688,-0.046150844327437,0.977374707066814,-0.263685965180512,0.285795296753357,0.191850736533389,0.282852021902537,0.0520869883131884,0.733325739752991,-0.0705842729134135,0.850532462099314
"Ndufa4",0.614035456869944,0.500814249398121,-0.333672617914762,0.972599774869665,-0.710231284109846,0.183694637141822,-0.870803389424395,0.0282610883676863,0.876718488617793,0.00807612512223765,0.456544635148838,0.500856216772458
"Ndufa5",0.246958238627174,0.402325824005246,-0.0504010005849451,0.977374707066814,-0.228459767312491,0.295725094905865,-0.189937697634736,0.220814216228431,0.0503776971390113,0.703678636690528,0.201660717355132,0.41505899153604
"Ndufa6",0.25416235538261,0.517705716471669,-0.0909030427797567,0.977374707066814,-0.340814683977499,0.139179378110342,-0.267683569163222,0.127944010708482,0.321469745365083,0.0232158821999386,0.129940174421719,0.694916581209116
