_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.1,GO:0070374,positive regulation of ERK1 and ERK2 cascade,M1,1,0
1,-3.8,GO:0007023,post-chaperonin tubulin folding pathway,M1,1,0
1,-3.1,GO:0048662,negative regulation of smooth muscle cell proliferation,M1,1,0
1,-3,mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0043434,response to peptide hormone,M1,1,0
1,-2.5,GO:0010543,regulation of platelet activation,M1,1,0
1,-3.1,GO:1903828,negative regulation of protein localization,M1,1,0
1,-2.2,GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,M1,1,0
1,-3.4,GO:0042063,gliogenesis,M1,1,0
1,-5,GO:0060562,epithelial tube morphogenesis,M1,1,0
1,-3.6,GO:0019368,"fatty acid elongation, unsaturated fatty acid",M1,1,0
1,-4.3,GO:0034635,glutathione transport,M1,1,0
1,-2.5,GO:1900076,regulation of cellular response to insulin stimulus,M1,1,0
1,-2.5,GO:0042438,melanin biosynthetic process,M1,1,0
1,-4.7,GO:0034248,regulation of amide metabolic process,M1,1,0
1,-2.4,GO:0051492,regulation of stress fiber assembly,M1,1,0
1,-8.7,GO:0046034,ATP metabolic process,M1,1,0
1,-3.9,GO:0080171,lytic vacuole organization,M1,1,0
1,-3.4,GO:0019367,"fatty acid elongation, saturated fatty acid",M1,1,0
1,-2.6,GO:0009749,response to glucose,M1,1,0
1,-2.5,GO:1903077,negative regulation of protein localization to plasma membrane,M1,1,0
1,-11,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-2.4,GO:0046688,response to copper ion,M1,1,0
1,-2.6,GO:0010001,glial cell differentiation,M1,1,0
1,-5.1,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-2.8,GO:0070372,regulation of ERK1 and ERK2 cascade,M1,1,0
1,-4.1,R-MMU-1474290,Collagen formation,M1,1,0
1,-2.5,GO:0035383,thioester metabolic process,M1,1,0
1,-2,R-MMU-9855142,Cellular responses to mechanical stimuli,M1,1,0
1,-5.4,R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,M1,1,0
1,-2.5,GO:0002396,MHC protein complex assembly,M1,1,0
1,-3.9,GO:0043604,amide biosynthetic process,M1,1,0
1,-2.7,GO:0060221,retinal rod cell differentiation,M1,1,0
1,-2.8,R-MMU-9006936,Signaling by TGFB family members,M1,1,0
1,-2.5,GO:0006690,icosanoid metabolic process,M1,1,0
1,-2.6,GO:0044091,membrane biogenesis,M1,1,0
1,-2.4,GO:0099587,inorganic ion import across plasma membrane,M1,1,0
1,-4.8,GO:0006164,purine nucleotide biosynthetic process,M1,1,0
1,-3.1,GO:0001890,placenta development,M1,1,0
1,-4.8,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3.4,R-MMU-422475,Axon guidance,M1,1,0
1,-2.1,GO:0050921,positive regulation of chemotaxis,M1,1,0
1,-2.9,GO:2000177,regulation of neural precursor cell proliferation,M1,1,0
1,-7.6,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-2,GO:0006749,glutathione metabolic process,M1,1,0
1,-3.5,GO:0030902,hindbrain development,M1,1,0
1,-4.8,GO:0072657,protein localization to membrane,M1,1,0
