"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR"
-2.95941117138324,11.4177449127386,26.8383438350388,3.56307173168175e-07,3.29159959974409e-06,329,2.88945271817941e-06
7.88814750122981,10.7012197135505,26.6195883241916,3.96109323403232e-07,3.49296403364668e-06,49,3.07520817543114e-06
5.14260509951142,10.7592659415133,26.6450505715134,3.91255175335618e-07,3.49296403364668e-06,64,3.07520817543114e-06
5.14316976776941,10.7475850604241,25.8199784059941,5.83758725829991e-07,5.03329745826748e-06,219,4.43561990123797e-06
7.70141360147116,10.6564736265912,25.7464467814701,6.04986647578535e-07,5.10293085348851e-06,241,4.50174867072275e-06
4.36976944040409,10.8120751967064,25.6563650343684,6.32055748207284e-07,5.10911729800888e-06,179,4.51036084958698e-06
7.79796187533834,10.6641254282253,25.67058384609,6.27703318963151e-07,5.10911729800888e-06,261,4.51036084958698e-06
3.05674629086269,11.6439036005179,25.5960367880849,6.50863261694587e-07,5.15377439872448e-06,44,4.58731274532131e-06
3.05173449925238,11.2999163505419,24.7526297199616,9.81342574620716e-07,7.61521837905676e-06,127,6.74398974934405e-06
2.91218189525162,10.9560733876702,23.6436630638102,1.68722861496031e-06,1.28361706393059e-05,310,1.14513651902329e-05
2.56250847422107,11.1339100309301,23.8012569449323,2.31676876046396e-06,1.72866592126927e-05,289,1.5527239004329e-05
-2.11828532545862,11.1884797349363,22.7580695605347,2.60528941250682e-06,1.90726847557103e-05,168,1.71196002379397e-05
-2.46901056867945,11.7021370952789,22.5232571499015,2.92413088689753e-06,2.10104219280785e-05,334,1.87436381295627e-05
4.24002638121423,10.7364164399724,22.0736845920513,3.64863674361825e-06,2.57394737549797e-05,177,2.30591554348609e-05
-2.40525568615093,11.8788170826532,21.5902693916097,4.63127572832274e-06,3.20881246890933e-05,300,2.85651594713808e-05
4.21167696708174,10.7417592578068,21.5214993210551,4.79127840611236e-06,3.26143161679228e-05,354,2.92329854936786e-05
-2.08068705149963,12.0766827549122,21.2791780603897,5.40084896730161e-06,3.61298172295349e-05,114,3.21796319081162e-05
-2.12036708054088,12.0297029364053,20.3608400019521,8.51257847919615e-06,5.59810245750527e-05,98,4.9531029495223e-05
-2.01426303419815,11.1237358430289,20.2525607917124,8.98280209287108e-06,5.8088786867233e-05,338,5.13917279271947e-05
-2.08872332902208,12.034387342512,19.9532501685139,1.04235931414182e-05,6.52315183688753e-05,7,5.71748775930314e-05
-1.46904017485298,12.3794536178791,19.9140772214813,1.06286781620532e-05,6.54591607440736e-05,19,5.71748775930314e-05
-2.38570477071438,10.9002971538288,19.9668538392092,1.03533107856788e-05,6.52315183688753e-05,315,5.71748775930314e-05
2.20253111474588,12.096320738505,19.7195293214679,1.17091660706393e-05,7.09868193032507e-05,90,6.17911154070589e-05
-2.3393877815898,11.6521909194327,19.6463463268575,1.2143733881056e-05,7.24887499361497e-05,363,6.31447315502438e-05
2.34159117166698,11.9407329597174,18.8305582284668,1.82445268088413e-05,0.000107255703058037,96,9.32421563164799e-05
-1.94518801336764,12.07223390985,18.4148365301431,2.24636168590751e-05,0.000130087811064494,55,0.000113448113627482
4.1987102375189,10.6546074270571,18.3498640926048,2.32068469990064e-05,0.000132415538759037,70,0.000116335519646308
2.5501040694486,10.9166980202303,17.8956855467759,2.91446923850553e-05,0.000163886096310166,157,0.000144444737679416
-2.27458316941613,11.5152262540128,17.5235467896484,3.51395326938093e-05,0.000194773409788543,128,0.000170749060152643
-1.73380762812682,12.1537022865278,17.0617567446174,4.43420431126534e-05,0.00023895434344041,190,0.000208480651525347
-2.14332796051303,11.5755664633666,17.0767108165145,4.40089132194229e-05,0.00023895434344041,304,0.000208480651525347
2.27663725399555,10.9456089951957,16.4547551186215,6.02518436964533e-05,0.000320242676085259,271,0.000278849403129527
-1.68218632035995,11.0527919583137,15.5954407287806,9.31580182777209e-05,0.000488450149888591,17,0.000424605567029054
1.83624559120823,11.1377503248693,15.5023343288522,9.76741924219865e-05,0.000505301155463077,191,0.000441877858471301
7.33656844054338,10.3830962382325,15.3503392576891,0.000105527724500533,0.000538746804029036,339,0.000471175456912538
-1.85982594862263,11.2914656669433,15.248248303589,0.00011115841701769,0.000560122932504721,341,0.000491548004956779
3.99391918618482,10.5829048861536,15.1273523124717,0.000118220787753707,0.000580628679094158,110,0.000514350872727937
4.83990280855075,10.5003214312754,15.1357356702072,0.000117716732081966,0.000580628679094158,189,0.000514350872727937
1.65561310021877,12.1998356124094,14.9485858028236,0.000129504674388785,0.000628097670785606,93,0.000554018946804265
2.00202549087172,11.9641561406694,14.8036720227399,0.000139447379891377,0.00066797016540561,275,0.000588539637816437
-1.89683193496135,11.3265132282102,14.5202459764664,0.000161183965167632,0.000762675347378553,316,0.000672036430977223
4.82195667245485,10.4661561640032,14.4481159006202,0.00016724366626328,0.000781813765182562,364,0.000691943001161112
-1.91242058043463,11.7094850589906,14.4190736362222,0.000169748165368045,0.000784074859080968,372,0.000693830699850956
2.26959047060134,10.8770743740952,14.2755506465395,0.000182693811390902,0.000833943515525527,254,0.000741833296046769
1.7530467749709,11.1207201481752,14.2471170658992,0.00018537479436473,0.000836342095505989,267,0.00074449056201486
-1.978827858854,11.5759642528166,14.1345139851212,0.000196389100199434,0.00087585023996989,72,0.000776482721744725
-1.48857677256402,12.1959136296696,13.9025488292664,0.000221213432952216,0.000975350136198405,226,0.000861210563567682
1.04165645667959,12.5199707332884,13.3919812119697,0.000287650820854328,0.00121492404149231,85,0.00107264258157038
-1.67694101126862,10.9787764975409,13.4165508525787,0.000284032681187723,0.00121492404149231,235,0.00107264258157038
-1.60079766520153,11.2058871935718,13.4030723303931,0.000286011790991483,0.00121492404149231,360,0.00107264258157038
-1.93405078753037,11.475595189019,13.3891228005105,0.00028807477272498,0.00121492404149231,367,0.00107264258157038
