"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6","logFC_7","adj.P.Val_7"
"Akap5",0.0130254112586655,0.998454033907698,-0.0452144293308933,0.999215727032816,-0.0214002013076795,0.763694960818815,-0.00688390942602707,0.99429389708379,0.0579596101184865,0.338376242784392,-0.076786254939472,0.0538037807676053,0.137939353230097,0.0150555627509766
"Akna",0.0354108207289923,0.998454033907698,-0.00579839286617995,0.999215727032816,0.0445557360958985,0.842063865895488,0.0448463010315472,0.989667758022198,0.284619640760085,0.111509863836559,-0.487240637241258,8.16955721423438e-08,0.0896505359877636,0.649282963270889
"Akr1a1",0.153232332425163,0.998454033907698,-0.13319289310589,0.999215727032816,-0.477150650070721,0.0251601574281387,0.267458507450433,0.377419987755538,0.0347599651049303,0.920243422405798,0.470745650335502,0.00223074453139434,-0.543233220248852,0.0300228007938296
"Aktip",0.190833842879496,0.998454033907698,-0.208108203532644,0.999215727032816,-0.318161933191404,0.0864387067050255,0.267079349217126,0.256920786824027,0.150729445275376,0.503334078654477,-0.064745756634605,0.670276505896441,-0.0528035653520829,0.840712823635928
"Aldh9a1",0.129807544259404,0.998454033907698,0.0369905715505517,0.999215727032816,0.0252608032139522,0.887363957773465,-0.0212433434524961,0.99429389708379,0.188054663646478,0.176927839706478,-0.304764626332849,0.000214863492640515,-0.155140871432152,0.305447551797159
"Aldoa",-0.0540259316770548,0.998454033907698,0.082209066828574,0.999215727032816,-1.17460900202238,0.0179565820084687,0.785342693448228,0.205400939359996,0.109717476784694,0.879999294134521,0.96477150094321,0.00637138568677187,-1.23055684761753,0.0301245307261887
"Aldoc",0.0178528345877869,0.998454033907698,0.151355993884518,0.999215727032816,-0.432726783687577,0.0179565820084687,0.313612719848406,0.172875670163983,0.06311657172553,0.795301161383981,0.0999379992008076,0.483418479335233,-0.40645845001073,0.0494917055679975
"Alg10b",-0.0301331464161594,0.998454033907698,-0.106716820381227,0.999215727032816,-0.266927208377552,0.0845391984069082,0.384213190579447,0.0591161769060094,0.060332669907122,0.776592971886658,-0.167883917529707,0.148401509399087,0.219712315604009,0.26550843124472
"Alg6",-0.0294377499378728,0.998454033907698,-0.0433153996210889,0.999215727032816,0.0560695181726008,0.381579574862142,0.0268080311623604,0.924753929245742,0.0856807955270463,0.167554550416527,-0.102967275376722,0.0122219007087178,0.00777131052776792,0.918790515686752
"Alkbh1",-0.0182447993937624,0.998454033907698,0.0427997241291704,0.999215727032816,0.144701567096402,0.535988885950522,-0.0454463585492116,0.99429389708379,0.346723459044167,0.116150665116279,-0.581978876183739,2.69092753631558e-06,0.132645429354423,0.588838809025996
"Alkbh5",0.106558742600841,0.998454033907698,0.0975173911269291,0.999215727032816,-0.515827395209011,0.0199687836094039,0.375238492350847,0.197121845461924,0.199499375659736,0.467326084676098,0.0331273462057364,0.856979335058471,-0.576330988223637,0.0278740672703301
"Alms1",0.0965904655027445,0.998454033907698,-0.0705306717388783,0.999215727032816,0.163205746115541,0.255789079747235,-0.0352830277987983,0.99429389708379,0.047739021792051,0.78960192478614,-0.379339181771798,4.71944217802207e-06,0.281174922622816,0.0699151703280236
"Alyref",0.0383318148034513,0.998454033907698,-0.0232106805235323,0.999215727032816,0.0846673886811696,0.459818042354049,-0.0538200600875331,0.886865596221795,0.149346706649651,0.174058305251808,-0.294503182917539,1.98597322201018e-06,0.145310473782881,0.213940289462906
"Amacr",0.0636215385271323,0.998454033907698,-0.0767484679046757,0.999215727032816,-0.0914131127804143,0.39444480006169,0.0198369079139522,0.99429389708379,0.254358963378393,0.00501857868230869,-0.145826226122688,0.0394099368495461,-0.0678977044246257,0.5602469785106
"Amer2",0.169694606860315,0.998454033907698,-0.0392968625216827,0.999215727032816,-0.242472406298587,0.507158809781975,0.267400221178902,0.658944171205816,0.528375478499207,0.136211349067089,-0.9678092163426,8.04247675231858e-08,0.380212255791171,0.311213976784336
"Amt",0.0253370313661625,0.998454033907698,-0.0564020556044321,0.999215727032816,0.118344871404136,0.436810487568503,-0.0362715749325885,0.993193144482628,0.209826619887,0.153169783092188,-0.385894219031498,6.3426335928532e-06,0.186184377685738,0.228848604468586
"Amy1",-0.0148816204375364,0.998454033907698,0.0376964988791264,0.999215727032816,0.452486896359295,0.0765375591928112,-0.150241093179422,0.869850946133363,0.21353015425295,0.48780638331417,-0.829381009222335,3.02161023285323e-07,0.443432550346157,0.143194820472385
"Anapc11",0.0340653775521034,0.998454033907698,-0.0881466244112998,0.999215727032816,-0.177597866759538,0.0795512072894694,0.142609140075926,0.28022036514065,0.137319844333284,0.250850822814578,-0.0444463717441739,0.573025180341221,-0.014856202424411,0.922746259671386
"Anapc13",0.0871548970278959,0.998454033907698,-0.0647728876342647,0.999215727032816,-0.188792808055017,0.0432761879558604,0.112285852087161,0.412123060870408,-0.00240575648281766,0.99222475671794,0.152059387200663,0.0340764775873587,-0.166262968599844,0.139618931630192
"Anapc7",0.0450451483846896,0.998454033907698,0.0276375957853667,0.999215727032816,-0.00915652747135082,0.969515853723629,0.0007884423951805,0.99713176448985,0.193276248794234,0.255691381198298,-0.434968132488832,4.60773396062172e-06,0.264917357256551,0.131014288189184
"Ank2",0.225383707156959,0.998454033907698,0.118669903918076,0.999215727032816,0.264664322592429,0.603954656123563,0.200118342333213,0.924753929245742,0.209286322308101,0.688490352740497,-1.41139417818853,1.24164500085722e-10,0.527316100298286,0.297542243466487
"Ank3",-0.0685183103921644,0.998454033907698,-0.125451273333016,0.999215727032816,0.178028895930718,0.507769288719044,-0.0540014699201837,0.99429389708379,0.235111967411445,0.376930393661921,-0.620198498161556,3.11835348705704e-05,0.783244233824274,0.000695262029463185
"Ankrd12",0.146538281371111,0.998454033907698,0.0937903997026115,0.999215727032816,0.100127206587921,0.820824188525541,-0.0193593877633429,0.99429389708379,0.434110719412772,0.216416593057393,-1.06357853472994,2.64016242396089e-10,0.414322066703231,0.272429108205612
"Ankrd27",-0.0764452198169021,0.998454033907698,0.147426210934094,0.999215727032816,0.0866067325883171,0.542711147860571,0.00816452861105521,0.99429389708379,0.154783798312429,0.248067382586482,-0.312902468463746,5.64614898331257e-05,-0.0556509101818579,0.716404274388749
"Ankrd42",0.0497217786546875,0.998454033907698,-0.0233903291990889,0.999215727032816,-0.00362512321597475,0.973931045129801,-0.00497712580951881,0.99429389708379,-0.0259840862128744,0.795301161383981,-0.13053035303688,0.0141700488602139,0.237294851077525,0.0028130542919378
"Ankrd52",0.0410823051930445,0.998454033907698,0.0327543039323532,0.999215727032816,0.123979923170188,0.683845221280316,-0.115993536165781,0.929800898745576,0.454588974652922,0.109879036233215,-0.78284482248643,1.58150467679404e-07,0.349745416957938,0.22577399079019
"Ano10",0.0525266970568687,0.838990957723459,-0.035812461721048,0.999215727032816,0.0336581084897134,0.442387647237143,-0.0274594304718512,0.769274392054539,0.00409762022290383,0.950569797646004,-0.0559232873603202,0.0474961443349839,0.0447667206764328,0.326710526627705
"Ano8",0.0100799646400698,0.998454033907698,-0.0493916956227874,0.999215727032816,0.0405360911728744,0.767957034341252,-0.0341566462552712,0.974185554464106,0.0670909596226465,0.582419242563354,-0.234418316332983,0.000881995415953999,0.344158813680844,0.000821233015778178
"Anp32a",-0.129578561967775,0.998454033907698,0.204319545091753,0.999215727032816,-0.881263499060603,0.0179565820084687,0.58050887077761,0.205400939359996,0.107081738116926,0.842065844662285,0.630647029605933,0.017996494442885,-0.89375876630685,0.0397867730418566
"Anp32e",0.20462859481461,0.998454033907698,-0.0707058526998678,0.999215727032816,-1.14443060172875,0.0180204051154171,0.643822615488509,0.33600118403333,0.223846675631758,0.73447111225363,0.980671397213298,0.00576495237643781,-1.47411679557812,0.00693650693084722
