_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-6.2,WP5298,Dravet syndrome Scn1a A1783V point mutation model,M1,1,0
1,-4.2,R-MMU-71291,Metabolism of amino acids and derivatives,M1,1,0
1,-3.7,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),M1,1,0
1,-3.1,GO:0019318,hexose metabolic process,M1,1,0
1,-2.8,R-MMU-9646399,Aggrephagy,M1,1,0
1,-4.9,GO:1905039,carboxylic acid transmembrane transport,M1,1,0
1,-4.3,GO:0043062,extracellular structure organization,M1,1,0
1,-2.6,GO:0098659,inorganic cation import across plasma membrane,M1,1,0
1,-2.3,GO:0009636,response to toxic substance,M1,1,0
1,-2.1,GO:0002026,regulation of the force of heart contraction,M1,1,0
1,-2.4,GO:0006874,intracellular calcium ion homeostasis,M1,1,0
1,-2.4,GO:1903580,positive regulation of ATP metabolic process,M1,1,0
1,-3.4,GO:0046324,regulation of D-glucose import,M1,1,0
1,-3.9,GO:0040013,negative regulation of locomotion,M1,1,0
1,-4.7,GO:0009181,purine ribonucleoside diphosphate catabolic process,M1,1,0
1,-2.6,GO:0051492,regulation of stress fiber assembly,M1,1,0
1,-2.1,GO:0098661,inorganic anion transmembrane transport,M1,1,0
1,-3.4,GO:0030036,actin cytoskeleton organization,M1,1,0
1,-3.1,GO:0035725,sodium ion transmembrane transport,M1,1,0
1,-3.5,GO:0055082,intracellular chemical homeostasis,M1,1,0
1,-5.9,mmu01230,Biosynthesis of amino acids - Mus musculus (house mouse),M1,1,0
1,-3.7,GO:0140115,export across plasma membrane,M1,1,0
1,-6.1,R-MMU-194315,Signaling by Rho GTPases,M1,1,0
1,-2.1,GO:1905562,regulation of vascular endothelial cell proliferation,M1,1,0
1,-3.4,GO:0046365,monosaccharide catabolic process,M1,1,0
1,-3.8,GO:0015807,L-amino acid transport,M1,1,0
1,-2.6,GO:0032373,positive regulation of sterol transport,M1,1,0
1,-3.2,GO:0045428,regulation of nitric oxide biosynthetic process,M1,1,0
1,-4,GO:0080164,regulation of nitric oxide metabolic process,M1,1,0
1,-2.9,GO:2001212,regulation of vasculogenesis,M1,1,0
1,-3.7,GO:0050801,monoatomic ion homeostasis,M1,1,0
1,-2.2,GO:0010828,positive regulation of D-glucose transmembrane transport,M1,1,0
1,-2.9,GO:1901607,alpha-amino acid biosynthetic process,M1,1,0
1,-2.7,GO:0062014,negative regulation of small molecule metabolic process,M1,1,0
1,-3.3,R-MMU-9845614,Sphingolipid catabolism,M1,1,0
1,-2.6,GO:0002042,cell migration involved in sprouting angiogenesis,M1,1,0
1,-2.6,GO:0071542,dopaminergic neuron differentiation,M1,1,0
1,-2.1,GO:0060485,mesenchyme development,M1,1,0
1,-3.5,GO:0034330,cell junction organization,M1,1,0
1,-2,WP1270,Endochondral ossification,M1,1,0
1,-4.6,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.5,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-4.5,GO:0009191,ribonucleoside diphosphate catabolic process,M1,1,0
1,-3,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-2.1,GO:0097006,regulation of plasma lipoprotein particle levels,M1,1,0
1,-2.1,GO:0045821,positive regulation of glycolytic process,M1,1,0
1,-5.3,GO:0009179,purine ribonucleoside diphosphate metabolic process,M1,1,0
1,-3.3,GO:0015813,L-glutamate transmembrane transport,M1,1,0
1,-3.3,GO:0001666,response to hypoxia,M1,1,0
1,-6.3,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-2.9,GO:0030007,intracellular potassium ion homeostasis,M1,1,0
1,-2.2,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-4.1,GO:0030516,regulation of axon extension,M1,1,0
1,-2.3,GO:0031400,negative regulation of protein modification process,M1,1,0
1,-3.9,GO:0031102,neuron projection regeneration,M1,1,0
1,-2.8,GO:0002040,sprouting angiogenesis,M1,1,0
1,-2.3,GO:0031667,response to nutrient levels,M1,1,0
1,-2.3,GO:0015718,monocarboxylic acid transport,M1,1,0
1,-4.2,GO:0060538,skeletal muscle organ development,M1,1,0
1,-3.4,GO:0010721,negative regulation of cell development,M1,1,0
1,-2.9,GO:0007015,actin filament organization,M1,1,0
1,-2.3,mmu04014,Ras signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0045833,negative regulation of lipid metabolic process,M1,1,0
1,-2.6,WP1983,Splicing factor NOVA regulated synaptic proteins,M1,1,0
1,-3,GO:0043542,endothelial cell migration,M1,1,0
