Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006090,pyruvate metabolic process,19_GO:0009987 cellular process,-4.4,6.3,6,21160,82,330,8,2.4,0.85,15275|15277|17425|18640|18641|20501|21991|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Slc16a1|Tpi1|Pfkp,-1.9,hits
GO Biological Processes,19,GO:0060249,anatomical structure homeostasis,19_GO:0042592 homeostatic process,-4.3,3.6,5.2,21160,252,330,14,4.2,1.1,11304|11647|11798|19126|20404|22157|23959|26380|53416|73750|75782|97064|230872|234404,Abca4|Alpl|Xiap|Prom1|Sh3gl2|Tulp1|Nt5e|Esrrb|Stk39|Whrn|Lca5|Wwtr1|Crocc|Nxnl1,-1.9,hits
GO Biological Processes,19,GO:0001894,tissue homeostasis,19_GO:0042592 homeostatic process,-4.3,3.6,5.2,21160,252,330,14,4.2,1.1,11304|11647|11798|19126|20404|22157|23959|26380|53416|73750|75782|97064|230872|234404,Abca4|Alpl|Xiap|Prom1|Sh3gl2|Tulp1|Nt5e|Esrrb|Stk39|Whrn|Lca5|Wwtr1|Crocc|Nxnl1,-1.9,hits
GO Biological Processes,19,GO:0019364,pyridine nucleotide catabolic process,19_GO:0009987 cellular process,-4.3,7.2,6.2,21160,62,330,7,2.1,0.79,15275|15277|17425|18640|18641|21991|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Pfkp,-1.9,hits
GO Biological Processes,19,GO:0097499,protein localization to non-motile cilium,19_GO:0051179 localization,-4.3,18,8.2,21160,14,330,4,1.2,0.6,19881|22157|56297|225004,Rom1|Tulp1|Arl6|Pcare,-1.9,hits
GO Biological Processes,19,GO:0010766,negative regulation of sodium ion transport,19_GO:0051179 localization,-4.2,17,7.9,21160,15,330,4,1.2,0.6,11603|53416|83814|108058,Agrn|Stk39|Nedd4l|Camk2d,-1.8,hits
Reactome Gene Sets,6,R-MMU-9009391,Extra-nuclear estrogen signaling,,-4.1,6.8,5.9,21160,66,330,7,2.1,0.79,12223|14688|14693|14695|14699|18708|103573,Btc|Gnb1|Gnb2|Gnb3|Gngt1|Pik3r1|Xpo1,-1.7,hits
GO Biological Processes,19,GO:0072526,pyridine-containing compound catabolic process,19_GO:0009987 cellular process,-4.1,6.8,5.9,21160,66,330,7,2.1,0.79,15275|15277|17425|18640|18641|21991|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Pfkp,-1.7,hits
Reactome Gene Sets,6,R-MMU-383280,Nuclear Receptor transcription pathway,,-4.1,8.4,6.3,21160,46,330,6,1.8,0.74,15370|26380|26381|217166|225998|353187,Nr4a1|Esrrb|Esrrg|Nr1d1|Rorb|Nr1d2,-1.7,hits
Reactome Gene Sets,6,R-MMU-4086398,Ca2+ pathway,,-4.1,8.4,6.3,21160,46,330,6,1.8,0.74,14688|14693|14695|14699|18587|18588,Gnb1|Gnb2|Gnb3|Gngt1|Pde6b|Pde6g,-1.7,hits
