Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0051302,regulation of cell division,19_GO:0050789 regulation of biological process,-2.9,8.4,5.1,21160,186,54,4,7.4,3.6,12315|14173|22608|242785,Calm3|Fgf2|Ybx1|Klhl21,-0.75
hits,KEGG Pathway,24,mmu04612,Antigen processing and presentation - Mus musculus (house mouse),,-2.8,14,5.9,21160,87,54,3,5.6,3.1,15511|15516|193740,Hspa1b|Hsp90ab1|Hspa1a,-0.71
hits,GO Biological Processes,19,GO:0030308,negative regulation of cell growth,19_GO:0040007 growth,-2.8,8,5,21160,195,54,4,7.4,3.6,15511|70925|76500|193740,Hspa1b|Cdkn2aip|Ip6k2|Hspa1a,-0.68
hits,GO Biological Processes,19,GO:0099003,vesicle-mediated transport in synapse,19_GO:0051179 localization,-2.8,8,5,21160,196,54,4,7.4,3.6,12315|19341|23969|66144,Calm3|Rab4a|Pacsin1|Atp6v1f,-0.68
hits,GO Biological Processes,19,GO:0061136,regulation of proteasomal protein catabolic process,19_GO:0050789 regulation of biological process,-2.8,8,5,21160,197,54,4,7.4,3.6,15511|15516|70369|193740,Hspa1b|Hsp90ab1|Bag5|Hspa1a,-0.67
hits,Reactome Gene Sets,6,R-MMU-6807878,COPI-mediated anterograde transport,,-2.8,13,5.8,21160,91,54,3,5.6,3.1,67542|69654|227613,Cog6|Dctn2|Tubb4b,-0.67
hits,Reactome Gene Sets,6,R-MMU-4420097,VEGFA-VEGFR2 Pathway,,-2.8,13,5.8,21160,91,54,3,5.6,3.1,12315|18709|76884,Calm3|Pik3r2|Cyfip2,-0.67
hits,Reactome Gene Sets,6,R-MMU-9006931,Signaling by Nuclear Receptors,,-2.7,7.7,4.9,21160,203,54,4,7.4,3.6,12315|14695|15516|18709,Calm3|Gnb3|Hsp90ab1|Pik3r2,-0.64
hits,GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-2.7,4,4,21160,691,54,7,13,4.6,14173|15511|18148|20807|70925|76500|193740,Fgf2|Hspa1b|Npm1|Srf|Cdkn2aip|Ip6k2|Hspa1a,-0.64
hits,KEGG Pathway,24,mmu04070,Phosphatidylinositol signaling system - Mus musculus (house mouse),,-2.7,12,5.6,21160,96,54,3,5.6,3.1,12315|18709|76500,Calm3|Pik3r2|Ip6k2,-0.62
hits,Reactome Gene Sets,6,R-MMU-194138,Signaling by VEGF,,-2.7,12,5.5,21160,98,54,3,5.6,3.1,12315|18709|76884,Calm3|Pik3r2|Cyfip2,-0.59
hits,GO Biological Processes,19,GO:0032271,regulation of protein polymerization,19_GO:0050789 regulation of biological process,-2.7,7.4,4.7,21160,211,54,4,7.4,3.6,15511|18709|76884|193740,Hspa1b|Pik3r2|Cyfip2|Hspa1a,-0.59
hits,GO Biological Processes,19,GO:0000723,telomere maintenance,19_GO:0009987 cellular process,-2.7,12,5.5,21160,99,54,3,5.6,3.1,15516|69714|193740,Hsp90ab1|Tfpt|Hspa1a,-0.59
hits,KEGG Pathway,24,mmu05215,Prostate cancer - Mus musculus (house mouse),,-2.7,12,5.5,21160,100,54,3,5.6,3.1,11911|15516|18709,Atf4|Hsp90ab1|Pik3r2,-0.58
hits,GO Biological Processes,19,GO:0031396,regulation of protein ubiquitination,19_GO:0050789 regulation of biological process,-2.6,7.3,4.7,21160,216,54,4,7.4,3.6,15511|15516|18148|70369,Hspa1b|Hsp90ab1|Npm1|Bag5,-0.56
hits,GO Biological Processes,19,GO:0008361,regulation of cell size,19_GO:0065007 biological regulation,-2.6,7.2,4.7,21160,217,54,4,7.4,3.6,14695|15516|18148|20807,Gnb3|Hsp90ab1|Npm1|Srf,-0.55
hits,WikiPathways,27,WP5242,Comprehensive IL 17A signaling,,-2.6,11,5.4,21160,103,54,3,5.6,3.1,12301|15511|18148,Cacybp|Hspa1b|Npm1,-0.55
hits,GO Biological Processes,19,GO:0043524,negative regulation of neuron apoptotic process,19_GO:0048519 negative regulation of biological process,-2.6,7.1,4.6,21160,221,54,4,7.4,3.6,11911|14173|15516|18148,Atf4|Fgf2|Hsp90ab1|Npm1,-0.53
hits,GO Biological Processes,19,GO:0032200,telomere organization,19_GO:0009987 cellular process,-2.6,11,5.2,21160,107,54,3,5.6,3.1,15516|69714|193740,Hsp90ab1|Tfpt|Hspa1a,-0.51
hits,GO Biological Processes,19,GO:0042176,regulation of protein catabolic process,19_GO:0050789 regulation of biological process,-2.6,5.2,4.2,21160,374,54,5,9.3,3.9,15511|15516|70369|193740|260302,Hspa1b|Hsp90ab1|Bag5|Hspa1a|Gga3,-0.51
hits,GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0009987 cellular process,-2.6,5.2,4.2,21160,376,54,5,9.3,3.9,20638|22608|66070|66585|76938,Snrpb|Ybx1|Cwc15|Snrnp40|Rbm17,-0.5
hits,Reactome Gene Sets,6,R-MMU-9006925,Intracellular signaling by second messengers,,-2.6,6.9,4.5,21160,228,54,4,7.4,3.6,12315|14173|18709|54170,Calm3|Fgf2|Pik3r2|Rragc,-0.5
hits,KEGG Pathway,24,mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (house mouse),,-2.6,6.9,4.5,21160,228,54,4,7.4,3.6,11911|14173|15516|18709,Atf4|Fgf2|Hsp90ab1|Pik3r2,-0.5
