gene,wt_signed_log_p,ko_signed_log_p
Wnt9a,0.436869931811178,-0.623171749739228
Gip,0.436556904328463,-0.777364330577808
Spi1,0.436556904328463,-0.158499895342161
Bmp5,0.436243961660296,-0.777364330577808
Syk,0.436243961660296,0.677155024855202
Bcar3,0.436098999633251,0.15718625567637
Itga8,0.435931103800007,-1.06141180818832
Siglec1,0.435931103800007,0.829916215417754
Zap70,0.435931103800007,-0.377482045577269
Crebbp,0.432036377235109,0.238774470942703
Wasf1,0.432025938399149,0.446934654286131
Vav2,0.432005354375771,-0.103669976341588
Abca7,0.421259431687982,-0.812751245465569
Acvr2a,0.420790377407804,-0.294098179914763
Lamtor4,0.415696111975503,0.181040020828572
Flna,0.413841133472835,-0.768293601642859
Lgals9,0.406139571045944,-0.361073704940792
Zc3hav1,0.405657763649305,-0.0176458779273053
Birc5,0.405416938894588,-0.801528858924906
C5ar1,0.405176166764388,-0.292710496841786
Grem1,0.402627018132367,-1.1907097885964
Ywhae,0.402390786055587,-0.406858581068234
Prkch,0.402217260992971,-0.643860318075883
Ticam1,0.40200466411149,0.0769066220226883
Tedc1,0.397861881747867,-0.125989275568961
Nr2c1,0.394279770402126,-1.41007000131845
Igfbp6,0.392894269998893,0.0993931684023415
Adrb2,0.38834101500546,-0.0765794767103539
Ift172,0.380554208917138,0.244072009600069
Adcyap1,0.380116440005269,0
Atp6v1c2,0.380116440005269,0.327993190309052
Avpr2,0.380116440005269,0
Btk,0.380116440005269,-0.327993190309052
Bub1,0.380116440005269,0.0131025267997342
Calcr,0.380116440005269,0
Casr,0.380116440005269,0
Ccl19,0.380116440005269,0.327993190309052
Ccl5,0.380116440005269,0.192722647936916
Clec4n,0.380116440005269,-0.327993190309052
Cspg4,0.380116440005269,0.159073565903789
Cysltr2,0.380116440005269,0.327993190309052
Depdc1b,0.380116440005269,-0.777364330577808
Drd5,0.380116440005269,-1.29617974427927
Epo,0.380116440005269,-0.327993190309052
Epor,0.380116440005269,0
Ern2,0.380116440005269,0.513544008486567
Fgf17,0.380116440005269,0.302254493279426
Fgf3,0.380116440005269,-0.777364330577808
Ghrh,0.380116440005269,0.513544008486567
Gpr137b,0.380116440005269,0
Gsx2,0.380116440005269,-0.327993190309052
Hhex,0.380116440005269,0.327993190309052
Htr6,0.380116440005269,-0.327993190309052
Iapp,0.380116440005269,0
Il19,0.380116440005269,0.677155024855202
Il20ra,0.380116440005269,0
Ins2,0.380116440005269,0
Lilra5,0.380116440005269,-0.777364330577808
Ltf,0.380116440005269,0
Mrap,0.380116440005269,-1.77951532594553
Naip1,0.380116440005269,-0.777364330577808
Nfatc4,0.380116440005269,-0.622132338020589
Nlrc5,0.380116440005269,0
Nlrp12,0.380116440005269,0
Nppb,0.380116440005269,0
Nppc,0.380116440005269,0.513544008486567
Nrk,0.380116440005269,-0.622651952410866
Oprm1,0.380116440005269,0
P2ry6,0.380116440005269,-0.327993190309052
Selp,0.380116440005269,0.327993190309052
Shh,0.380116440005269,-0.622132338020589
Shox2,0.380116440005269,0
Tifab,0.380116440005269,-0.327993190309052
Treml4,0.380116440005269,-0.777364330577808
Wnt11,0.380116440005269,-0.102320157500871
Thbs1,0.379673026373843,-0.201082520549281
Cdk5rap3,0.377422841755635,0.107382292609405
Ptk7,0.376974563800149,0.58592592320294
Pde5a,0.376510620544953,-0.0284675321812321
Prkcz,0.375338604202162,-0.539709927601796
Csf1r,0.371207381050144,-0.032043219636243
