p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
0,3.98359436541459,0.56,0.053,0,c1,St3gal6,0.507,0.28392
0,2.40283887481356,0.681,0.265,0,c1,Ldhb,0.416,0.283296
0,2.91639955502466,0.597,0.127,0,c1,Aplp1,0.47,0.28059
0,2.09181629995063,0.758,0.388,0,c1,Slc48a1,0.37,0.28046
0,3.1579031887311,0.611,0.154,0,c1,Fuca2,0.457,0.279227
0,1.78261507644157,0.761,0.398,0,c1,Ctsl,0.363,0.276243
0,2.26127086772967,0.653,0.233,0,c1,Slc22a17,0.42,0.27426
0,2.18958165666458,0.686,0.288,0,c1,Sdcbp,0.398,0.273028
0,3.67988347797205,0.571,0.099,0,c1,Slc16a2,0.472,0.269512
0,4.1457896575636,0.547,0.056,0,c1,F3,0.491,0.268577
0,1.66596192794776,0.859,0.547,0,c1,Lamp2,0.312,0.268008
0,4.93060792712077,0.531,0.031,0,c1,Elovl7,0.5,0.2655
0,4.44841949083948,0.532,0.05,0,c1,Calml4,0.482,0.256424
0,5.08555356015446,0.522,0.037,0,c1,Nqo1,0.485,0.25317
0,3.62257509230716,0.556,0.101,0,c1,Slc9a3r1,0.455,0.25298
0,4.58045710491461,0.52,0.039,0,c1,Chil1,0.481,0.25012
0,5.61322271576791,0.509,0.02,0,c1,Spock1,0.489,0.248901
0,3.00327962896366,0.556,0.109,0,c1,Sorl1,0.447,0.248532
0,3.93771653310202,0.532,0.069,0,c1,Sema4a,0.463,0.246316
0,6.93787776701493,0.501,0.01,0,c1,Slc13a3,0.491,0.245991
0,2.45236758776146,0.627,0.236,0,c1,Vamp8,0.391,0.245157
0,1.41246237834233,0.905,0.64,0,c1,Atp1a1,0.265,0.239825
0,5.85946196963076,0.5,0.021,0,c1,BC067074,0.479,0.2395
0,2.66061125630125,0.56,0.138,0,c1,Ptprf,0.422,0.23632
0,1.68800635768682,0.815,0.526,0,c1,Gns,0.289,0.235535
0,2.01416193298158,0.686,0.344,0,c1,Nucb1,0.342,0.234612
0,1.8852633117569,0.692,0.354,0,c1,Laptm4a,0.338,0.233896
0,1.35798874109559,0.939,0.69,0,c1,Ctsb,0.249,0.233811
0,2.71593117550778,0.588,0.192,0,c1,Man2b2,0.396,0.232848
0,2.3392308609391,0.644,0.286,0,c1,Eci1,0.358,0.230552
0,3.52008820094568,0.531,0.102,0,c1,Cpq,0.429,0.227799
0,2.33360588515563,0.597,0.218,0,c1,Lrp2,0.379,0.226263
0,3.73651898854863,0.516,0.079,0,c1,Pip5k1b,0.437,0.225492
0,1.921503802014,0.572,0.18,0,c1,Timp2,0.392,0.224224
0,2.27442839627269,0.576,0.195,0,c1,Gm2a,0.381,0.219456
0,3.26910953763778,0.498,0.058,0,c1,Islr,0.44,0.21912
